去	q
易	ymi
足	zji
依	yiu
黄	h;e
修	xo
破	p/
台	ta
球	qle
呀	yq
院	y]a
送	s/o
包	by
义	ymo
诉	sno
攻	goei
丝	siaa
围	wdi
玩	wge
待	dq
待	d[uu
复	fnu
况	k]
楼	lle
丽	lme
痛	t/
梦	mce
呼	hui
摇	yh
期	qkei
英	yre
低	di
帝	dmoe
兄	xoi
背	be
背	bxi
持	cke
爷	yd
皇	h;u
七	qi
六	l/o
穿	cp
都	du
杨	y;ei
政	vce
运	yz
居	ju
叶	yxi
热	rx
校	jbei
校	xbe
谢	xx
曾	cfo
古	gj
细	xma
产	cg
睡	sc
希	xiuo
速	sne
室	smoo
旁	p;
另	lci
怀	hao
露	lne
异	yma
写	xdo
鬼	gf
娘	n;
取	qj
式	smea
除	cja
级	jkaa
考	kh
建	jva
愿	y]e
招	vye
饭	fv
布	bne
续	xn
程	cfu
首	slo
观	gpa
朋	pfu
务	wnu
掉	dbe
赶	gge
忽	huu
注	vno
术	snei
甚	sz
差	cq
差	c[
呵	heia
展	vg
争	vr
品	ps
兰	lgo
宝	bho
香	xpu
斗	d/o
故	gn
雷	ld
念	nv
段	d]u
顿	dz
角	jhu
角	jau
疑	yku
护	hn
闪	sg
木	mne
需	xu
调	dboa
调	tho
类	lxo
妹	mx
爸	b[
线	xva
左	zle
游	ylo
派	p[o
谈	tg
激	jio
冰	bro
敌	dku
跳	tb
支	vie
约	yqa
巴	bqa
您	ns
顾	gne
肯	ks
醒	xfei
铁	td
抱	bbe
淡	dvo
造	zb
伙	hlu
资	zi
群	qs
集	jkui
联	lgei
商	spo
号	hhi
号	hb
节	jde
讲	j;
掌	v;i
赵	vbe
密	mm
九	jlua
病	bco
卫	wxa
米	mk
威	wee
继	jma
渐	jvoo
统	tla
追	vru
亚	y[ei
简	jg
练	lv
基	jiei
选	x;u
推	tre
改	ga
退	tc
味	wxi
份	fz
举	jj
示	smee
忍	rs
历	lmeu
器	qmi
恐	kle
引	ysa
试	smoa
皮	pk
习	xka
靠	kb
导	dha
存	cse
莫	m/
志	vme
区	qu
汉	hv
右	y/e
严	yge
态	t[e
买	maa
幸	xce
社	sxo
佛	fl
佛	fju
议	ymoa
树	snei
止	vki
块	k[e
守	sloo
毛	mh
挥	hr
胡	hj
散	sge
散	sv
板	bg
仅	jsu
隐	ysai
怒	nn
床	c;o
苏	sue
料	lb
股	gju
局	jja
班	bte
图	tj
岁	sci
礼	lkoa
独	dj
初	cuo
福	fjo
顺	szu
狂	k;
默	m/i
巨	jne
既	jmae
松	soe
证	vco
烈	lxe
否	fle
恶	rd
恶	rxe
恶	wne
治	vmo
缓	h;a
排	pa
费	fx
拍	pq
耳	rke
医	yie
寒	hg
哭	ku
温	ww
府	fjoe
担	dte
担	dve
称	cz
称	cr
称	cc
余	yju
钟	voue
泪	lxoo
烟	yt
仍	rf
具	jni
忘	w]o
恩	rw
毕	bme
警	jf
蓝	lgei
宫	goo
吸	xii
陆	lna
究	jo
抓	vq
压	yqe
沙	sqo
救	j/
呆	dqi
河	hdo
迷	mko
枪	qp
组	zja
权	q;e
叹	tv
孙	swa
卷	j;o
查	cae
毫	hho
春	cw
察	cao
圣	sca
草	che
较	jbea
胜	scu
遇	yni
充	coo
史	ski
堂	t;i
防	f;a
据	jnei
猛	mfua
骑	qka
土	tje
卡	ka
助	vni
京	jroe
银	ysu
贵	gci
永	yloa
质	vmuu
屋	wu
须	xuu
副	fne
换	h]
刺	cme
属	sja
闻	wso
境	jcei
禁	jwe
禁	jze
阴	ywa
共	g/e
负	fnua
弄	n/
翻	ft
虎	hji
层	cfa
喊	hgi
逃	thu
晓	xhi
座	z/o
雅	ya
参	ct
射	sxu
婚	hw
险	xga
君	jwa
划	h[e
坚	jti
价	j[
柔	rla
超	cy
扬	y;ei
科	ke
按	rve
狠	hsu
野	ydi
秦	qse
秘	mmu
熟	sloe
熟	sjo
置	vmi
仙	xtu
模	mle
模	mje
伸	swu
波	bo
肉	r/i
假	jaui
假	j[u
齐	qko
舞	wju
脱	tou
广	g;o
姑	gu
麻	mao
投	tle
顶	dfe
致	vmea
责	zde
景	jfi
营	yfe
维	wda
设	sxoa
坏	h[ei
啦	lqi
秀	x/
败	b[i
眉	mda
州	voo
药	ybe
承	cfai
案	rvo
狼	l;u
专	vpe
偷	toui
画	h[ei
吴	wji
店	dvoe
哦	r/ia
弹	dva
弹	tga
食	skuo
欲	ynu
抬	tae
标	bye
秋	qo
厉	lmeu
良	l;o
际	jmai
状	v]o
烦	fgo
午	wjue
摆	baei
戏	xmao
桌	voi
船	c;uu
短	d;
村	cwe
某	mlei
摸	mo
付	fnui
演	ygoo
规	gr
萧	xye
封	fre
握	w/
田	tgi
唐	t;o
藏	c;ei
震	vze
混	hso
混	hz
虚	xui
透	t/u
纪	jmaa
凌	lfo
休	xou
嘛	mqi
梅	mde
紫	zki
歌	gee
临	lsi
毒	dje
宗	zo
著	vne
索	sle
印	yzu
寻	xs
湖	hjo
劲	jzao
职	vkei
技	jme
恨	hzo
婆	pl
杰	jdei
羽	yja
咱	zg
素	snee
凡	fgu
值	vku
飘	py
养	y;o
嘿	heia
普	pj
宁	nfo
宁	nc
吓	x[i
兽	s/ou
夏	x[e
读	djo
街	jeu
牛	nl
仿	f;u
胸	xoua
浪	l]oo
富	fno
尚	s]i
宇	yjoo
骨	gji
智	vmue
纷	fwa
升	sru
叔	sui
善	svo
弱	r/a
架	j[a
卖	m[
袋	d[ui
网	w;i
朱	vu
骂	m[i
雄	xl
赛	s[
略	l[
杯	bee
施	sio
墙	q;ei
环	h;ee
罪	zci
牙	yae
窗	cpo
柳	llei
厅	treu
搞	gh
端	dpo
洞	d/oo
适	smue
拥	yo
释	smuo
洋	y;oo
肩	jto
魂	hse
闹	nb
蒙	mr
蒙	mfe
蒙	mfei
洗	xko
灯	dr
借	jxu
伯	bl
免	mgu
菜	c[e
验	yv
凤	fc
鱼	yjua
徐	xju
型	xfee
娜	n[a
娜	nla
暴	bbi
亡	w;o
讨	thoa
辈	bxie
懂	dl
腿	tfu
灭	mxe
妙	mb
效	xbo
危	weu
优	you
盘	pgu
套	tbe
丁	dre
趣	qn
妖	yya
束	snei
杂	za
诗	sioa
迎	yfu
舍	sdu
旧	j/i
彩	cau
委	wdu
挂	g[e
笔	bku
狗	glu
鲜	xtua
鲜	xgu
纸	vka
抗	k]e
探	tve
韩	hge
尼	nk
控	k/e
惜	xkoo
珠	vue
抽	coe
创	cpu
创	c]
归	gri
挺	tfe
奋	fze
陪	pd
硬	yce
避	bma
园	y;ia
托	toe
训	xzo
勇	yla
聊	lhe
种	v/ue
奶	naa
庄	vpoe
奔	bw
奔	bz
镇	vzu
拳	q;o
采	cauo
研	ygeu
将	j]
配	px
介	jxuo
尊	zw
冒	mbi
虑	lni
敬	jcei
丹	dtu
舒	suu
蛋	dvai
哼	hri
宋	s/oo
济	jmoo
妇	fna
箭	jvue
择	va
择	zdei
犯	fvu
欣	xwu
甲	jai
欧	ro
课	kxoa
扑	pu
菲	fee
菲	fd
燕	yve
曲	qui
曲	qji
躲	dlu
玄	x;o
幻	h]a
茶	caei
折	vde
折	sde
伊	yiui
傻	sa
姓	xca
源	y;oo
洛	l/oo
遍	bvoa
臣	csei
弃	qmo
犹	ylu
占	vt
占	vvi
漂	pyo
漂	pho
漂	pb
挑	ty
挑	the
获	h/ei
绿	lnaa
峰	fri
俊	jzui
疯	fro
列	lxeu
作	zou
森	swe
妻	qie
恋	lvo
误	wno
拜	b[u
伟	wdui
移	ykue
纳	n[aa
党	d;i
罢	b[ia
腰	yyu
巧	qh
孤	gua
闭	bmo
圆	y;ia
碰	pc
镜	jcu
软	r;
厚	h/eu
累	ldi
累	lxi
昨	zli
幽	yoi
悲	bei
丈	v]e
牌	pau
降	j]a
降	x;a
颜	ygoe
劳	lhei
偏	pt
省	sfi
省	xfi
糊	hjou
糊	hno
馆	g;u
烧	sy
谓	wxo
财	cai
舰	jvuu
汗	hgo
汗	hvo
奈	n[e
操	cye
迹	jmoe
尸	siae
悄	qho
残	cge
尖	jtiu
鲁	lj
锋	fru
圈	j]i
圈	qpi
油	yloo
俩	lau
项	x]ei
撞	v]ei
瞬	szi
忆	ymoo
盖	g[o
尤	yleu
徒	tju
乡	xpa
概	g[ei
户	hnoa
荡	d]e
艺	yme
增	zr
祖	zjo
困	kz
殿	dvae
迅	xza
横	hfe
横	hce
范	fve
律	lnu
番	ftu
企	qku
惨	cgo
限	xvai
聚	jnei
含	hgu
凭	pfui
剧	jna
碎	sce
躺	t;u
缘	y;aa
凉	l;oe
腾	tfua
织	via
抢	qpe
抢	q;ei
预	yna
沈	sso
替	tm
孔	kla
批	pi
康	kp
惑	h/ea
唯	wdia
率	lno
惯	g]
登	dra
互	hne
盯	dri
稍	syu
宣	xpo
唱	c]i
诚	cfoa
剩	scue
咬	yhi
育	yno
诸	vuo
触	cnu
晨	csi
策	cx
疼	tfo
漫	mvoo
材	caei
补	bj
私	siue
吐	tji
吐	tn
纯	csaa
艾	r[e
贝	bxia
谷	gjuo
庭	tfoe
挡	d;e
晃	h;i
晃	h]i
吉	jkei
吹	cri
仔	zau
仇	clu
凝	nfoe
鼓	gje
农	nlo
席	xkoe
征	vruu
帅	s[i
附	fnai
缺	qq
塞	sqoo
塞	s[o
塞	sxoo
豪	hhoe
亦	ymoe
杜	dne
努	nja
判	pvo
谋	mlo
胆	dgu
尘	csiu
扎	vqe
滚	gs
闷	mwo
闷	mz
迟	cka
稳	wsu
翼	ymao
诺	n/o
闲	xgo
灰	hre
朵	dlua
盛	cfeu
盛	sceu
梁	l;oo
晶	jria
餐	cti
好	hba
爆	bbo
伦	lsu
娇	jya
侧	cxu
愣	lco
鼻	bkui
轮	lse
昏	hwu
抖	dle
陷	xvai
敏	msu
词	cko
慌	hpo
愤	fzo
怜	lgoo
颤	cv
阶	jea
苍	cpe
距	jnia
郑	vcou
川	cpui
扫	she
扫	sbe
逼	bi
县	xvi
忧	yoo
童	tlo
执	vkei
丢	doue
荣	rle
臂	bmae
逐	vje
傲	rb
戴	d[ei
芒	m;e
庆	qc
伴	bvu
袭	xke
供	gou
供	g/ui
积	jiu
测	cxo
遥	yhu
阻	zjai
例	lmui
睁	vri
岛	dhu
遗	yki
瞪	dci
慕	mnei
皱	v/ua
博	ble
幕	mnei
猜	cqu
益	ymou
净	jco
泽	zdo
炼	lvou
监	jtii
鸡	jia
珍	vwe
伏	fjui
绍	sba
曹	chei
爬	pauu
丫	yqo
炸	vao
炸	v[
壁	bmae
涌	yloo
凶	xouo
郎	l;oa
宿	snoo
宿	xlo
宿	x/o
怨	y]u
醉	zce
拼	pw
迫	p/u
革	gdei
瞧	qhi
奥	rbu
输	suea
莉	lmei
忠	voia
颗	kei
嗯	rwi
佳	jqu
旅	ljo
仁	rsu
鸟	nhu
骗	pva
浩	hbo
塔	taei
胖	p]
绪	xna
枫	frei
拔	baei
赞	zv
炮	pbo
傅	fnui
凯	kai
邪	xde
芳	fpe
浑	hsoo
夺	dleu
宽	kpo
堆	drei
裂	lxeu
遭	zy
赤	cmei
旋	x;oe
旋	x]o
扭	nle
洁	jdo
浮	fjoo
悉	xiuo
难	nva
擦	cqe
慧	hcee
典	dgi
赏	s;
匆	cou
评	pfo
纵	z/a
莲	lgei
雾	wneo
乌	wuu
跃	y[i
壮	v]oe
贴	te
丰	free
隔	gda
健	jvui
辛	xwoe
抵	dke
竹	vju
彻	cxuu
摩	mloe
轰	ho
编	bta
肚	dju
肚	dnu
插	cqei
磨	mloe
磨	m/o
哎	rqi
御	ynuu
耐	n[eu
惧	jno
氏	smua
辉	hrio
扶	fje
恢	hro
貌	mbu
额	rdo
述	snei
票	pbe
录	lnae
拖	toei
膀	b;
膀	p;u
鹰	yro
孟	mca
递	dmou
瑞	rc
唇	cseu
暂	zve
货	h/ui
琴	qsee
踪	zoi
码	mae
慰	wxae
蛇	sdi
玲	lfe
晕	ywi
晕	yzi
损	sse
轩	xpe
粗	cuou
掩	ygei
屁	pm
悠	youi
仰	y;u
零	lfeo
盟	mfi
途	tjuo
贼	zdi
洪	hloo
悟	wnoo
固	gni
讶	y[o
冬	doua
滑	haoo
甜	tgu
郁	yne
琳	lsee
辆	l]e
乃	naau
猪	vuu
暖	n;i
妮	ni
挣	vre
挣	vcei
旦	dvia
估	guu
坦	tge
甘	gte
佩	pxu
莱	lae
享	x;oe
吼	hli
构	g/ei
粉	fs
萨	s[e
吻	wsi
潜	qgo
瓶	pfou
偶	rlu
戒	jxe
浓	nloo
毁	hfu
销	xyu
迪	dki
拒	jnei
绕	rba
勒	lxei
勒	le
朗	l;oa
嘻	xiia
尾	wdae
尾	ykae
帐	v]i
废	fxo
延	ygu
敲	qy
烂	lvou
曼	mvi
厌	yveu
宜	yko
羞	xoo
喂	wxia
吟	ysi
滴	dio
洲	vooo
爹	deu
艳	yvee
晴	qfi
抚	fjei
缩	soaa
协	xdei
央	yp
悔	hfo
肖	xyi
肖	xbi
缠	cga
脆	ccu
痕	hsoe
伍	wjui
寂	jmoo
启	qkoa
翔	x;ou
薄	bhe
薄	blei
薄	b/
侯	hlui
劝	q]
郭	gooe
奴	njau
鸣	mfia
倾	qru
彼	bkuu
扔	rr
撒	sqe
撒	sae
豫	ynao
检	jge
针	vwu
耀	ybi
痴	cio
姆	mja
篇	ptu
椅	yke
厂	c;eu
董	dlei
熊	xla
埋	maei
乖	gqu
狐	hju
蒋	j;e
踏	t[i
隆	lla
括	k/ei
潮	cho
唉	r[i
穷	qlo
聪	coei
唤	h]ia
泰	t[ee
版	bgu
末	m/e
旗	qkoe
仪	ykui
焦	jyu
猫	my
盗	dboe
侍	smui
挤	jkei
款	k;e
拾	skei
荒	hpe
强	q;ae
姿	zio
域	ynei
搭	dqe
脉	m[u
脉	m/u
授	s/e
俗	sju
融	rlei
狱	ynua
欺	qiei
访	f;o
桥	qhe
锁	slue
霸	b[e
牵	qte
池	ckoo
钻	zp
钻	z]
港	g;oo
喃	ngia
廷	tfue
乘	cfue
玛	maee
奉	fce
扯	cd
岳	y[ui
减	jgo
弯	wt
夹	jae
辞	cku
岸	rvi
岂	qki
屈	qua
恼	nho
哲	vdei
季	jmu
召	vba
丧	spe
丧	s]e
尝	c;io
恭	goei
载	zae
载	z[e
瘦	s/oe
皆	jee
颇	po
茫	m;ei
染	rgo
肃	sna
爽	s;e
亏	kr
吞	tw
惹	rde
哀	rqo
乔	qhu
趁	cze
铺	puu
铺	pn
脏	zpu
吕	lji
奖	j;oe
倍	bxui
汤	tp
振	vzei
婷	tfa
牢	lho
扰	rh
溜	lo
溜	l/oo
庞	p;o
臭	c/u
悦	y[oo
赫	hx
赢	yfo
跪	gcia
麦	m[e
枝	viei
侠	xau
泉	q;u
劫	jdei
炎	ygou
泥	nko
赌	dji
弓	goa
魏	wxue
罩	vbi
疾	jko
饰	smua
符	fjue
垂	cfue
映	yci
漠	m/oo
脖	blu
饮	ysua
沿	ygoo
懒	lgoo
肤	fuu
桑	spa
堪	kte
燃	rgou
卓	vli
祝	vnoa
赖	l[e
宾	bwo
贾	jaei
喘	c;ia
焰	yvo
吵	chi
冥	mfo
鞋	xdei
逸	ymu
均	jwei
库	kn
裤	kno
碗	wgeu
航	h;uu
踢	ti
姨	ykau
酸	spei
啸	xbia
龄	lfi
阁	gdo
舌	sdue
箱	xpue
冯	ff
邦	bpe
钢	gpu
霞	xaeo
促	cnui
泡	pboo
盾	dzu
羊	y;ou
碧	bmee
援	y;ei
忌	jmae
结	jeaa
抹	mlei
抹	m/ei
倩	qv
锐	rcu
喷	pwi
拦	lgei
嘉	jqe
袖	x/oa
殊	sueu
辰	cseu
繁	fgue
络	l/a
抛	pye
嫁	j[au
咒	v/i
撤	cxe
键	jvue
湿	sioo
恰	q[o
虫	cli
审	ssoo
献	xve
媚	mxa
贤	xgi
葛	gdei
刹	squ
刹	c[u
袁	y;ei
摔	sqei
序	xno
筑	vnu
斜	xdu
瓦	wa
涂	tjo
湾	wto
莎	sqei
崇	clia
猎	lxu
刑	xfee
墨	m/ia
娃	waa
梯	tie
桃	thei
豆	d/e
驾	j[au
浅	qgoo
径	jcuu
饿	rxu
疲	pko
搬	btei
瓜	gquu
莹	yfei
滋	zioo
润	rzoo
铃	lfue
蛮	mgo
蒂	dme
拨	boe
涛	tyo
予	yjao
勾	goua
惠	hcei
析	xie
落	l[ei
落	lbe
砍	kg
撑	cre
截	jdei
措	c/e
币	bmu
薇	weei
愈	ynuo
督	dui
酷	kne
祥	x;oa
怖	bno
侵	qwu
岩	ygi
扮	bve
糟	zyo
盈	yfa
腹	fnua
斩	vge
尺	ckae
签	qtu
稀	xiue
掏	tye
夸	kqe
汽	qmoo
液	yxoo
姬	jiau
愧	kc
汇	hco
柱	vnei
粮	l;ou
堡	bhui
仗	v]ui
笨	bzu
奏	z/e
歉	qvo
甩	sau
怔	vcoo
允	ysao
竞	jcoe
祸	h/o
耶	ye
耶	yde
爵	jauo
绩	jmaa
诱	y/o
呜	wui
穴	xao
黎	lku
租	zu
培	pde
砸	zaeu
井	jfe
窝	wo
弥	mka
返	fguu
匹	pke
啥	sai
凑	c/o
奸	jta
陌	m/a
叛	pvou
核	hde
核	hje
卧	w/e
幅	fji
眨	vai
耗	hbe
洒	sao
怡	ykoo
详	x;oa
卢	ljie
扣	k/ei
哇	wq
丑	cla
勉	mgua
孝	xbei
矛	mha
氛	fwu
衡	hfuu
陶	tha
购	g/i
汪	wp
僵	jpu
疗	lhoe
妃	fea
罚	fai
系	jmua
棋	qkei
缝	ffa
缝	fca
咐	fni
躯	quu
泛	fvo
愁	clue
血	x[ui
搜	soei
慈	ckou
肥	fdu
笼	llue
篮	lgu
俱	jnu
惟	wdo
柜	gce
捉	voe
悬	x;i
霍	h/eo
泄	xxo
咽	yti
咽	yvi
齿	cki
秒	mhu
勤	qsei
扩	k/ei
屏	bf
屏	pfa
霜	speo
袍	phoa
蝶	ddi
祭	jmua
夫	fjee
厨	cjeu
胁	xdua
璃	lkee
劈	pia
赚	v]ia
锦	jsue
尬	g[eu
尴	gteu
熙	xiei
寺	smei
昌	cpi
贺	hxa
巾	jwi
描	mhe
捕	bje
陵	lfai
咳	kd
扇	sto
扇	svoa
虹	hlia
绵	mga
撕	siei
蔡	c[ei
催	cru
彭	pfe
宠	clo
贪	ttu
辱	rje
誓	smei
盒	hduo
寸	czei
披	pie
搂	loe
搂	llei
饶	rhu
跌	dei
欠	qvu
肌	jiua
售	s/u
巡	xsa
抑	ymei
纹	wsa
宏	hloo
幼	y/a
萍	pfei
驻	vna
丛	cluo
亿	ymui
播	boei
俄	rdu
刃	rza
蕾	lde
挨	rqe
仲	v/ui
迈	m[ea
违	wde
辩	bvoe
埃	rqei
艘	sou
琪	qkee
灾	zq
僧	srui
渡	dno
卑	beu
雕	dyu
鼠	sjui
讯	xzoa
辣	l[o
刷	sqa
艰	jtao
斥	cmu
裙	qso
翠	cca
饱	bhua
掠	l[ei
询	xso
勃	blei
夕	xku
矮	ra
瑶	yhe
赐	cmi
捏	nee
闯	c;oi
姚	yha
瑟	sxe
渴	kdo
谅	l]oa
昂	r;i
串	c]ia
沟	gooo
涉	sxoo
咕	gui
驶	skaa
摄	sxei
贫	psu
辕	y;ea
婉	wga
答	dqu
鹏	pfua
姜	jpou
碍	r[eu
荷	hdei
荷	hxe
冠	gpoa
冠	g]o
魅	mxu
玫	mdee
裁	caei
坡	poe
鸿	hloo
邓	dcao
歪	wqe
乏	fau
申	swi
割	geo
巫	wue
衫	stoa
棒	b]
阔	k/o
泣	qmoo
韦	wdee
恍	h;o
贯	g]a
魄	p/ui
柄	bfe
患	h]ia
覆	fnei
蜜	mmo
婴	yri
励	lmeu
锅	goue
陛	bmai
遮	ve
帕	p[i
咖	gqi
咖	kqi
嫌	xgau
胳	geu
挖	wqei
啪	pqi
矿	k]eu
凄	qio
爪	vhu
爪	vau
眠	mgi
穆	mnu
啡	feia
吾	wjei
坛	tgei
脾	pku
恒	hfoo
屠	tja
玻	boee
蓉	rlei
础	cjeu
曰	yqi
耸	sluo
膊	blua
逆	nm
寿	s/ee
驱	quaa
猴	hlua
佣	y/ui
毅	ymoe
舅	j/u
铜	tlu
娟	jpa
眯	mki
淫	yso
吩	fwi
匪	fde
牧	mnue
役	ymuu
寄	jmoo
诡	gfo
纤	xta
腐	fjoe
姻	ywau
晰	xiia
渊	ypo
亭	tfoe
邀	yyui
哄	hoi
哄	hlia
骚	sya
墓	mnei
柯	kee
筋	jwue
崔	cria
灿	cvo
捷	jdei
淋	lso
弗	fja
辑	jkea
棍	gz
绳	sfaa
喝	hxi
频	psi
廊	l;oe
畏	wxia
歇	xei
裹	glo
苗	mhei
盼	pvi
咯	gei
咯	loi
咯	l/i
耍	saeu
煞	s[u
寝	qsoo
瞒	mgia
添	tto
嫂	sha
纠	joa
慨	kao
嚷	r;ia
驰	ckaa
拐	gae
宴	yvoo
津	jwo
岚	lgi
浴	ynoo
耻	ckei
挽	wgei
页	yxe
誉	ynoo
牲	srue
乳	rju
仓	cpuo
逝	smei
喉	hlia
逛	g]u
樱	yrei
兼	jtou
戈	geea
哗	hqia
哗	hai
会	k[u
涯	yao
捧	pfei
铭	mfue
障	v]a
摊	tte
跨	k[i
妥	tluo
揉	rlei
晋	jzei
寞	m/oo
寨	v[o
漆	qioo
污	wuo
嘲	chia
枚	mdei
吊	dbi
乾	qge
馨	xwe
伪	wdui
嗓	s;i
呈	cfi
卿	qrua
楠	ngei
籍	jkue
裸	lloa
链	lvu
灌	g]oo
昆	kw
畅	c]ia
逍	xyio
帽	mbia
阅	y[oi
逗	d/eo
蹲	dw
踩	caia
窜	c]o
哑	yai
趴	pqia
逢	ffu
植	vkei
媒	mdau
韵	yzo
昭	vyi
尹	ysae
谦	qto
档	d]ei
趟	tpe
趟	t]
沾	vto
兔	tnu
订	dcoa
朴	pje
瞎	xq
鞭	btei
俺	rgu
斤	jwuu
翅	cmei
肠	c;ua
雀	qyi
雀	qhiu
雀	q[i
慎	szo
盆	psuo
迁	qtue
镖	byu
芬	fwe
