让	w,
依	yiu
持	cke
展	zf
科	ke
朋	phu
装	zp;e
渐	jco
较	jvea
艺	ymv
娘	n;
异	ym/e
另	lb/
台	ta
品	ps
规	gee
兰	lf;
读	dj
市	sm;
须	xuu
玩	wfe
克	kxv
屋	wu
观	gra
速	snvi
社	sxoa
差	cq
哈	hqi
围	wd
画	hqvi
穿	cr
况	kp
倒	dg
罢	bq/
研	yfe
约	ye
换	hc
注	zno
呀	yq
饭	fc
沉	cso
层	ch/
害	hq;
支	ziv
户	hn
睛	jyi
称	cy
角	jg;
索	slv
政	zbe
雷	ld
参	cr/
摇	yg
待	dquu
假	ja
希	xi;o
朝	cg
丝	si/
宝	bg;
首	sl;u
楚	cjv
联	lfe
攻	goei
船	cfu
佛	fl
香	xp;e
初	cuo
秋	qo
雪	xdv
诉	sno
斗	d/;
库	kn
病	bb;
旁	p;
选	xf;
您	ns
既	jma
丽	lmv
赵	zvv
酒	jlo
背	bx/
举	jj
痛	t/
争	zy
杨	y;e
叶	yxi
密	mm
散	sce
群	qs
戏	xmao
讲	j;
司	si/e
证	zbo
汉	hco
雨	yjv
志	zmvi
露	lnv
旧	j/
校	xve
皇	h;;
派	pqo
篇	pr
赶	gfv
停	th
喝	hei
楼	lle
议	ymo
呼	hui
试	smoa
护	hne
推	te
境	jbei
环	hf
刘	lloe
脑	ng
资	zi;
亚	yqv
居	ju
妹	mx
亮	lp;
睡	sxi
肯	ks
局	jj/
梦	mbv
编	bra
掉	dve
置	zm/
甚	sz
例	lmui
印	yzu
疑	yku
属	sj
买	ma/
姑	gua
恐	klv
敌	dku
江	jp
概	gqe
招	zt
查	ca
共	g/v
威	wev
跳	tv
咱	zfi
续	xna
兄	xo/
鬼	gd;
谢	xxo
淡	dcoo
洋	y;o
素	snve
专	zr
刊	kr
顾	gne
永	yl;
游	ylo
顺	szu
控	k/
刀	dt
胡	hj
状	zpo
致	zme
区	qu
止	zk/e
仙	xru
帝	dm;e
顿	dz
络	l/a
商	sp;
软	rfe
述	snvi
严	yfvi
礼	lko
考	kg
习	xk/
冰	byo
左	zlvu
余	yj;
料	lv
否	flv
效	xvo
堂	t;
史	sk/
输	sue
忘	wp;
短	dfu
燕	ycvi
历	lmvu
味	wxi
仿	f;u
烟	yr
巴	bq/i
靠	kv
顶	dhe
杂	za
采	ca;
维	wda
岁	sx/
独	dju
皮	pk
怀	haoo
君	jw/
页	yxvu
仅	jsu
圣	sb
笔	bk;
排	pa
操	ct
钟	zou
景	jh
土	tjv
妇	fna
列	lxe
凤	fb
巨	jnv
充	co;
闪	sf
广	g;
验	yca
激	jio
费	fx
铁	td
闹	nv
权	qfe
坏	hqe
齐	qk;
板	bf
质	zm;u
继	jmaa
莫	m/
剧	jna
耳	rdv
翻	fr
忍	rs/
压	yqvu
源	yfo
恶	rxvi
治	zmo
按	rce
伙	hlu
球	qle
馆	gfu
春	cw
苏	suv
默	m/i
抱	bve
配	px
府	fj;
射	sxu
隐	ysai
退	tx/
河	hdo
卷	jf;
课	kxo
毛	mg
右	y/
狂	k;
卫	wx/
烈	lxv
际	jmai
奶	naa
略	lxi
某	mlv
仍	rh
端	dro
价	jqu
守	sl;o
弄	n/
封	fye
呵	heia
划	hqea
枪	qp
孙	swa
胜	sbu
助	zni
吴	wj/
缓	hfa
卖	mqv
唐	t;;
负	fn;a
域	yne
适	sm;e
演	yfoo
福	fjo
窗	cp;
导	dg/
梅	mde
米	mk
哭	ku
免	mf;
率	ln;
波	bo
讨	tgoa
增	zye
蓝	lfvi
怒	nn
掌	z;
超	ctv
限	xcai
遇	yn/
码	mae
秀	x/
珠	zu
贵	gx/
松	soe
室	sm;o
虎	hj/
兽	s/;u
歌	geei
纸	zka
草	cgv
练	lca
茶	cav
叹	tc
施	sioe
纪	jmaa
含	hf;
沙	sqo
供	g/u
桌	zo/
剑	jcuo
测	cx
街	jeu
爸	bq;o
肉	r/
灯	dy
刺	cm
座	z/;e
优	yo
曲	qj/
束	snvi
抗	kpe
醒	xhei
闻	ws;
责	zdv
舞	wj;
版	bfu
凡	ff;
虚	xu/
防	f;a
追	ze
银	ysu
床	c;;
唱	cpi
归	gei
泪	lxo
吸	xii
伯	bl
译	ymoa
范	fcv
温	ww
挥	hee
救	j/e
检	jfe
替	tm
祖	zjoa
份	fz
麻	ma;
眉	md/
阴	ywa
描	mge
毕	bmv
幸	xbv
良	l;
互	hnv
伸	swu
雅	ya
预	yna
盘	pf
革	gdv
秦	qsv
熟	sj;
园	yf/a
柔	rl/
险	xfa
骑	qka
股	gju
析	xie
禁	jzv
阶	jea
逃	tg;
猛	mhu
征	zyu
州	zo;u
灭	mxv
担	dce
医	yiv
藏	c;v
警	jhv
乡	xp/
副	fne
啦	lqi
野	ydi
承	ch/i
拍	pqe
秘	mmu
陆	lna
喊	hfi
项	xpe
骂	mq/
养	y;;
寒	hf;o
婚	hw
恨	hz
混	hzo
架	jq/
呆	dq/
弹	tfa
宇	yj;o
丁	dyv
懂	dl
败	bqi
普	pj
甲	ja/
协	xde
晓	xgi
迷	mk;
善	sc;
墙	q;e
亦	ym;e
移	ykue
绿	lnaa
凌	lhoe
曼	mc/
卡	ka
执	zkei
烦	ffo
抓	zq
献	xce
察	ca;o
宫	go;o
智	zm;e
投	tle
硬	ybe
田	tf/a
闲	xf;i
厉	lmvu
趣	qn
介	jx;
瑞	rxe
亡	w;;
宣	xr;
牛	nl
借	jxu
释	smuo
叔	sui
抬	tae
摆	bae
弱	r/a
偷	tou
误	wno
脱	toua
寻	xs
宗	zo;o
案	rc;
富	fn;o
握	w/
紫	zk/e
罪	zx
悲	be
评	pho
抽	coe
敬	jbei
店	dc;
湖	hjo
药	yv
徐	xju
付	fnu
朱	zu;
材	cae
食	sk;o
扬	y;ei
尚	sp/
狗	glu
圆	yf/a
琴	qsve
仁	rsu
峰	fyi
震	zzv
鼓	gje
魂	hse
姓	xba
坚	jr/
骨	gj/
午	wj;e
毫	hg
欲	ynu
透	t/;
探	tce
惜	xko
鲁	lj
托	toe
洞	d/o
临	lsi
营	yhv
缺	qeu
芳	fpv
牙	yav
绍	sv
虑	ln/
雄	xl
柳	llei
辑	jkea
洗	xkoo
凭	ph;
录	ln/e
婆	pl
孔	kla
迎	yh;
升	sy;
勇	yl/
村	cwe
省	sh
巧	qg
迅	xz/
尊	zw
偏	pru
菜	cqv
套	tvv
党	d;
妙	mv
烧	st
萧	xtv
避	bm/
择	zde
挂	gqei
批	pi
函	hf/
职	zkei
灰	hev
拥	yoe
闭	bm;
育	yn;
胸	xou
浪	lpo
拜	bqu
怜	lfo
尤	ylvu
欧	ro
休	xoui
狠	hsu
腿	tdu
哼	hy
辈	bx/e
纷	fwa
牌	pau
妖	yt
策	cx;
羽	yja
危	we;
袋	dq;
获	h/vi
符	fj;e
夏	xqv
伟	wdu
彩	cau
诸	zuo
荣	rlv
幽	yo/
劳	lgv
丈	zpv
训	xzo
键	jcue
狼	l;u
油	yloo
稍	stu
恩	rw
博	ble
庆	qb
奋	fzv
碎	sxe
固	gn/
遍	bc;a
班	bre
碰	pb
横	hh
颜	yfoe
济	jmoo
附	fnai
舍	sd;
殿	dca
赞	zc;
载	zav
肩	jr;
鱼	yj;a
农	nl;
尖	jr/u
登	dy/
唯	wdi
童	tl;
轮	lse
厅	tyv
缘	yfa
炼	lco
鲜	xrua
著	znv
补	bj
纳	nqa
典	df/
沈	sso
困	kz
佩	pxu
庄	zp;e
毒	djv
迹	jm;
聚	jnvi
杯	bee
织	zia
厚	h/vu
吓	xqi
飘	pt
吹	cei
嫂	sga
宽	kr;
曰	ye/
娜	nqau
享	x;;
均	jwe
丹	dr;
凉	l;o
丰	fyv
访	f;o
冒	mv/
腰	ytu
扑	pu
隔	gda
躲	dlu
竹	zju
宋	s/;o
慧	hxv
淑	suo
嘿	heia
昨	zli
插	cqe
席	xk;
惯	gc
翠	cx/
圈	qr/
杰	jdvi
委	wd;
徒	tju
陪	pd
积	jiu
判	pco
拳	qf;
舒	suu
映	ybi
残	cfe
莲	lfvi
折	zdei
剩	sbue
律	lnu
壁	bm/e
堆	de
朵	dl;
缩	soa
尼	nk
迟	ck/
幻	hca
抵	dke
距	jni
触	cnu
镜	jbu
悄	qgo
诚	cho
瞧	qgi
庭	th;
降	jpa
私	siu
汗	hcoo
纯	csaa
针	zwu
括	k/e
递	dm;u
询	xso
惨	cfo
幕	mnvi
鼻	bk;i
减	jfo
猜	cqu
抢	q;ei
玄	xf;e
镇	zzu
丢	do;
犹	ylu
胖	pp
谓	wxo
炮	pv
径	jbuu
遗	yk/a
赛	sq;
末	m/v
妻	qiv
穷	ql;
弃	qm;
忠	zo/a
财	cai
浮	fjoo
忆	ymoo
哦	r/i
胆	dfua
彼	bku
疯	fy;
扩	k/ei
孤	guai
皱	z/ua
稳	wsu
晨	cs/
辛	xw;
宜	yk;
爆	bvo
番	fr;
梁	l;;
益	ym;u
乃	na/
傲	rv
凝	nh
犯	fcu
净	jbo
锋	fyu
瞬	szi
咬	ygi
箭	jc;
洛	l/o
挺	the
荡	dp
逐	zjv
皆	jev
躺	t;u
宁	nh;
赏	s;
俗	sju
翼	ym/o
愤	fzo
劝	qc
旅	ljo
迫	p/;
赤	cmv
旗	qko
贝	bx/a
厂	c;vu
岛	dg;
鸣	mhi
昏	hw;
塔	taei
臂	bm/e
逼	bi
授	s/e
尘	cs/u
阻	zjai
欣	xwu
尸	si/e
康	kp;
舰	jcuu
椅	yke
伊	yiui
鸟	ng;
森	swv
氏	sm;a
娇	jta
寂	jm;o
粉	fs
汽	qmo
鸡	jia
吉	jkv
监	jr/i
芒	m;v
匆	co;a
臣	csv
货	h/;
鸿	hlo
拟	nke
途	tj;
慰	wx/e
晶	jy/
蛋	dc/
猫	mt
颗	kei
累	lx/
陷	xcai
壮	zpoe
芬	fwv
努	nj/
奥	rv;
票	pvv
菲	fev
敏	msu
延	yf;i
仰	y;u
吟	ysi
恋	lc;
颤	cc
县	xc/
杜	dne
滚	gs
蒙	mhv
忧	yoo
暂	zcv
恢	heo
振	zze
粗	cuou
零	lhv
俩	la
毁	hdui
伴	bcu
轰	ho
戴	dqvi
奈	nqv
矩	jju
仇	cl
盛	sbv
漫	mcoo
撞	zpe
偶	rlu
嘛	mqi
颇	po
惑	h/va
慕	mnvi
伦	lsu
擦	cqei
厌	ycvu
伏	fju
枝	zie
慌	hp
废	fx;
挤	jkei
吾	wjvi
启	qk;a
泰	tqve
纵	z/a
寄	jm;o
订	dbo
逻	ll/a
摘	zqe
侧	cxu
辞	cku
暴	bv/
祥	x;o
尾	wd/
洁	jdoo
唤	hci
摩	ml;
愈	yn;o
岂	qk/
孟	mb/
损	sse
韩	hfe
腾	thu
怨	yc;
愁	cl;
础	cje
洲	zoo
串	cc/
傻	sa
豪	hg;
健	jcui
苍	cpv
雾	wnv
奔	bw
哀	rq;
袭	xkv
抖	dle
睁	zyi
频	psi
乌	wu;
贴	tei
聊	lge
储	cju
旦	dc/a
逸	ym;a
吐	tji
旋	xfo
御	ynuu
傅	fnui
唇	csvu
珍	zwe
谷	gj;
荒	hpv
绕	rva
裂	lxvu
岸	rc/
潮	cgo
涌	yloo
墨	m//
搬	brei
搜	soei
艾	rqv
帐	zpi
耐	nqe
幅	fji
乘	ch;e
爬	pa;
什	skui
夺	dlv
尝	c;/o
掩	yfei
诺	n/o
貌	mvu
陶	tga
扎	zqei
羞	xo;
郎	l;oa
桥	qge
佳	jqui
姨	yka
戒	jxv
扭	nle
冥	mh;a
尺	ck/e
搞	gg
盟	mh/
拾	ske
摸	mo
夹	jqv
鞋	xdei
滑	haoo
媒	mda
碗	wfeu
详	x;oa
扯	cd
稿	ggu
枫	fyei
川	cr;
锁	slu
莉	lmvi
薄	blv
浓	nlo
恰	qq
糊	hjou
狱	ynua
聪	coei
奴	nja
骗	pca
肚	dnu
姊	zkau
矣	yk/o
倍	bxu
醉	zxe
甫	fjv
拖	toei
岳	yx;i
核	hde
殊	sueu
扶	fje
盖	gq;
盖	gd;u
烂	lcou
赖	lqe
彻	cxuu
浑	hso
冯	fh
邪	xdea
遭	ztv
痕	hs;
屈	qu/
仗	zpu
跃	yxia
凶	xo;o
巡	xs/
兼	jr;u
晋	jzvi
莱	lav
仲	z/ui
炎	yf;u
焰	yco
涂	tjo
瞪	dbi
弯	wr
嘻	xiia
悟	wnoo
潜	qfo
寿	s/v
沿	yfoo
膀	b;
坡	poe
悉	xi;o
季	jm;e
绪	xnaa
蛇	sdi
链	lcu
垂	cd;
冬	do;a
恭	gov
疼	th;e
郑	zbou
吞	tw
亭	th;e
乔	qg;
瘦	s/;e
踪	zoi
朗	l;oa
箱	xp;e
悠	yo;
斜	xdu
倾	qyu
祝	znoa
荪	swvi
仪	ykui
盗	dv;
羊	y;;u
嫁	jqau
讶	yqo
踏	tqi
池	ckoo
劲	jza
泛	fco
欺	qie
伍	wju
溜	lo
泥	nko
贼	zdia
吼	hli
懒	lfoo
占	zr/
脆	cxua
亏	kev
仔	zau
勉	mf;a
浅	qfoo
萨	sqv
惠	hxvi
韵	yzo
嗯	rwi
敲	qt
虫	cl/
埋	maei
玛	maee
悔	hdoo
庞	p;;
坦	tfe
恼	ngo
浩	hvo
拔	baei
阁	gd;i
凯	kai
辆	lpe
妮	ni
碧	bmve
搭	dqe
愣	lbo
泉	qf;i
融	rle
罩	zv/
郁	yneu
繁	ff;e
讯	xzoa
仆	pju
盾	dz;
洪	hloo
袍	pgo
婉	wfa
挨	rqe
阔	k/;
俊	jzu
茫	m;vi
纹	wsa
凑	c/o
晃	hp/
辉	heio
饰	smua
舅	j/;
甜	tfu
循	xsu
址	zkei
滴	dio
侵	qwu
焦	jt;
拦	lfei
款	kf
暖	nfi
惧	jno
遥	yg;
丫	yq;
播	boe
甘	grvi
障	zpa
璃	lkee
额	rdo
肃	sn/
卿	qyua
汇	hxo
艳	yce
奉	fbv
返	ff;u
拒	jne
辩	bco
屏	ph/
隆	lla
惹	rdvi
邻	lsuo
销	xtu
爽	s;v
涉	sxoo
劫	jde
霞	xa
咒	z//
缠	cfa
帽	mvi
帅	sqi
耀	yvi
廷	th;e
侍	smui
柱	zne
牧	mnu
添	tro
捉	zoe
脾	pku
牵	qrv
铜	tlu
袖	x/o
牢	lg;
驱	qua
堪	kre
挑	tt
忌	jm/
爹	de;
倘	t;ui
盯	dyi
截	jdvi
牲	syu
召	zv/u
迁	qr;
饿	rxu
央	yp/
餐	cr/e
塞	sq;o
措	c/e
企	qk;o
笼	ll;e
促	cnui
鹏	phua
矮	ra
霸	bqv
割	geo
衡	hhu
姚	yga
润	rzoo
扰	rg
辰	csvu
赌	dji
丛	cl;o
荷	hdv
庙	mv;
郭	goo
豫	ynao
瓦	wa
哲	zdvi
董	dlvi
港	g;o
锐	rxue
俄	rdu
吵	cgi
钧	jwu
渡	dno
竞	jb;
扔	ry
耗	hve
崇	cl/a
桃	tge
寸	cz
邦	bpe
喷	pw
琳	lsee
吕	lj/
赐	cmi
粮	l;ou
舌	sd;e
姿	zi;e
抚	fjei
愧	kxoo
脖	blu
迪	dk/
幼	y/a
染	rf;
闷	mw;
啸	xvi
吻	wsi
予	yj/
扫	sge
慈	ck;
玻	boee
佣	y/u
铺	puu
晕	yw/
嚷	r;
培	pde
稀	xiu
桂	gxe
玲	lhe
允	ys/
趁	czv
糟	zto
督	du
猪	zuu
臭	c/;
乙	yk//
籍	jk;e
悦	yxo
津	jwo
痴	ci;
侯	hlui
覆	fnv
屁	pm
媚	mxa
跪	gxi
井	jhve
熊	xl/
抛	pte
催	ceu
奸	jra
扮	bce
贤	xf/
嫌	xfau
衫	sro
乏	fa;
斩	zfe
咐	fni
瓜	gq;u
援	yfei
哎	rqia
酸	sre
夸	kqv
肥	fd
蒂	dmv
炸	zao
燃	rfo
嘉	jqvi
怖	bno
牺	xiue
欠	qc;
裁	cavi
爵	jd;
鹰	yy;
掏	tte
捕	bje
钢	gpu
柜	gxei
丑	cl/i
卧	w/e
磨	ml;e
湿	sioo
悬	xf/a
疲	pk;
宿	sn;
厨	cjvu
汤	tp
辱	rjv
贫	ps;
捧	phe
渊	yro
窝	wo
桑	sp/o
乖	gq;e
撑	cye
脏	zpua
勒	lxei
蛮	mf;e
惟	wdo
慎	szo
袁	yfvi
孝	xvv
躯	quu
屠	tj/
捏	ne
疾	jk;e
申	sw/
泽	zdo
航	h;u
晴	qhi
漠	m/o
勤	qse
狐	hju
坛	tfei
拼	pce
拼	pwe
剪	jf;u
宏	hl;o
扣	k/ei
租	zuue
耶	yee
裤	kno
翁	wy
赫	hxe
框	kpei
喘	cfi
瓶	phou
撤	cxe
遮	ze;
奖	j;;
祭	jm;a
卜	bj/
诱	y/o
喃	nfia
娃	waa
妥	tl;o
昌	cp/
昂	r;/
豆	d/v
巫	wuv
览	lf/
矛	mg/
扇	sc;a
歇	xei
档	dpe
桢	zwei
碍	rqeu
贺	hx/
堡	bg;i
洒	sao
铃	lhue
挡	d;e
弓	go/
泼	poo
凄	qio
祸	h/o
逢	fh;
耻	ckei
昭	zti
罚	fa/
宙	z/;o
卑	be;
逆	nm
盆	ps;o
呜	wui
喂	wxia
饮	ysua
驾	jq/u
陛	bma
咳	kd
寺	smvi
骤	z/aa
阅	yx;i
妨	f;au
绘	hxa
蜜	mm;
翔	x;ou
签	qr;e
审	ss;
齿	ck/e
盼	pci
霜	spv
廊	l;;e
岩	yf/a
汪	wpo
综	zoaa
栏	lfei
媳	xka
猎	lxu
雕	dtu
疏	sua
娶	qjv
侠	xau
炉	ljou
饱	bgua
戚	qivu
挖	wqe
泄	xxoo
赢	yh;e
魏	wxue
轩	xre
叛	pcou
叠	dd/
薇	wevi
匹	piv
贞	zw/
弥	mka
拨	boei
歪	wqv
鼠	sj;i
踢	ti
讽	fho
账	zpia
焉	yrv
陵	lha
漆	qioo
刑	xhee
耍	sav
帕	pqi
勾	go;a
盒	hd;o
芝	zivi
鉴	jc/i
腐	fj;e
慨	kao
赋	fnia
哟	yoi
寞	m/;
沟	gooo
谅	lpoa
披	pie
夕	xk;a
摔	sqe
愚	yj/a
宾	bw;
歉	qco
挽	wfei
吊	dv/
宅	za;
斥	cm;
裳	c;/o
灾	zq;
梯	tie
倩	qcu
贪	tr;
删	sru
亿	ymu
肤	fuu
植	zkei
姆	mja
币	bm;i
液	yxoo
叙	xnu
搁	geei
巾	jw/a
倦	jcui
谋	mlo
砍	kfe
滋	zio
刷	sqa
僵	jpu
柄	bh
锦	jsue
挣	zyei
钉	dyu
趟	tpv
秒	mgu
纱	sqaa
盈	yh/
胁	xdua
伪	wdui
崔	ce/
筋	jw;e
冤	yr;
腹	fnua
刃	rz/
糖	t;o
嘲	cgia
抑	yme
驻	zna
肖	xv/
匪	fdv
莹	yhvi
粒	lmo
麦	mqve
谣	ygo
呈	ch/a
绅	swaa
咕	gui
腔	qpu
辨	bcoe
撕	siei
砸	zae
奏	z/v
朴	pje
酷	kne
艰	jrao
卢	lj/e
纤	xra
册	cx;a
枯	kue
眨	zai
斋	zq;e
笨	bz
鞭	brei
劈	pi/
叉	cq/
绩	jmaa
掠	lxei
勃	blei
骄	jtaa
妞	no
摊	tre
谦	qro
姬	jiau
骚	sta
壶	hjv
裹	gl;
瞎	xqia
誉	yn;o
虹	hlia
溪	xio
柴	ca/
耸	sl;o
纠	joa
跌	dei
污	wuo
绸	cla
愉	yjoo
吩	fwi
斤	jw;u
饼	bhu
龄	lhi
贯	gc/
隶	lm/
涛	tto
励	lme
趋	quv
畏	wx/a
饶	rgu
辣	lqo
霍	h/vo
瑟	sxv
哇	wqi
桐	tlei
仓	cp;o
俱	jnu
帘	lf;o
樱	yye
昆	kw
卓	zl/
瞒	mfi
杭	h;e
霄	xtvo
翅	cmvi
磁	ckeu
役	ymuu
墓	mnvi
喉	hlia
萝	llv
恒	hho
雀	qx/
械	xxe
泡	pvo
骇	hqa
谨	jso
抄	cte
矿	kpeu
衍	yfu
闯	c;;i
辅	fjea
棍	gz
旺	wpi
珊	sree
缝	fba
眠	mfia
猴	hlua
菊	jjv
俏	qv
漏	l/oo
穴	xd;o
匠	jpv
跨	kqi
狮	siua
魄	p/u
迈	mqva
蓬	phv
埃	rqei
宴	yc;o
屑	xx/
邀	yt;
廉	lf;e
膝	xiua
契	qmv
嵌	qc/
揭	jee
蠢	csve
颈	jha
绳	sha
棋	qkei
鄙	bki
丧	spvi
填	tfei
棉	mfe
蝶	ddi
舟	zo;u
棒	bpei
冠	gr;a
鹤	hxoa
晌	s;i
筑	zj;
患	hc/
颠	dre
躬	gou
爪	za;u
艘	sou
邮	yli
署	sj/
债	zqu
劣	lx/u
捷	jdei
夷	ykv
巷	xpv
湾	wro
轿	jvea
枚	mdei
遂	sx;
绵	mfa
谎	h;o
誓	smvi
嫩	nz
渴	kdo
乳	rju
胞	btu
婴	yy/
诡	gdo
竖	sn/i
衰	sq;e
蒋	j;v
脉	mqu
脉	m/u
购	g/i
贾	jav
坟	fse
藤	thv
钻	zru
蕙	hxvi
违	wdv
戈	gev
筹	cl;e
裙	qso
寡	ga;
夭	yt;e
剥	boa
棵	kee
弦	xfae
惶	h;oo
婷	tha
恍	h;oo
寓	yn;o
绣	x/a
驳	bla
栗	lmvi
驰	cka
曹	cgvi
苗	mgv
膊	blua
譬	pm/
枕	zse
唉	rqia
杆	gfe
儒	rjui
蹲	dw
兮	xi;o
畅	cpia
赔	pdi
疗	lg;e
灌	gco
拆	cqei
堵	dje
顽	wfee
胳	geu
宠	cl;o
冻	d/oe
羡	xc;
押	yqe
舱	cpu
逝	smvi
揉	rlei
锅	goue
肌	jiua
搂	llei
拢	llei
肠	c;u
琪	qkee
兔	tn
恳	ks/
雇	gn;
悍	hcoo
酬	cle
梳	suei
弗	fj/
嗓	s;ia
嘱	zji
敦	dwo
