去	q
丝	riaa
围	wdi
玩	wse
待	dr
待	dcuu
复	fnu
况	kc
楼	lle
丽	lme
痛	tq
梦	m;e
呼	hui
摇	yg
期	qkei
英	y;e
低	di
帝	dmoe
兄	xoi
背	be
背	bxi
持	cke
爷	yd
皇	hfu
七	qi
六	lqo
穿	cw
杨	yfe
政	v;e
运	yb
居	ju
叶	yxia
热	rxe
校	jvei
校	xve
谢	xxo
曾	cpo
古	gj
细	xma
产	cso
睡	sx
希	xiuo
速	rne
室	smoo
旁	pf
另	l;i
怀	hfoo
露	lne
异	yma
写	xdo
鬼	gdu
娘	nf
取	qj
式	smea
除	cja
级	jkaa
考	kg
建	jza
愿	yze
招	vte
饭	fz
布	bne
续	xn
程	cpu
首	slo
观	gwa
朋	ppu
务	wnu
掉	dve
赶	gse
忽	huu
注	vno
术	sne
甚	sb
差	c/
呵	heia
展	vsa
争	v;u
品	ph
兰	lso
宝	bgo
香	xru
斗	dqo
故	gn
雷	ld
念	nzu
段	dzu
顿	db
角	jgu
角	jdua
疑	yku
护	hn
闪	ss
木	mne
需	xu
调	dvo
调	tgo
类	lxo
妹	mx
爸	b/uo
线	xza
左	zle
游	ylo
派	pc
谈	tso
激	jio
冰	b;o
敌	dku
跳	tv
支	vie
约	ye
巴	b/a
您	nh
顾	gne
肯	kh
醒	xpei
铁	td
抱	bve
淡	dzoo
造	zv
伙	hlu
资	zi
群	qh
集	jkui
联	lsei
商	sro
号	hg
号	hv
节	jde
讲	jf
掌	vfi
赵	vve
密	mm
九	jlua
病	b;oe
卫	wxa
米	mk
威	wee
继	jma
渐	jzoo
统	tla
追	ve
亚	y/e
简	js
练	lza
基	jiei
选	xsu
推	te
改	gf
退	txa
味	wxi
份	fb
举	jj
示	smee
忍	rha
历	lmeu
器	qmi
恐	kle
引	yha
试	smoa
皮	pk
习	xka
靠	kv
导	dga
存	che
莫	mq
志	vme
区	qu
汉	hz
右	yq
严	ysei
态	tce
买	mfa
幸	x;e
社	sxo
佛	fl
佛	fju
议	ymoa
树	snei
止	vki
块	kce
守	sloo
毛	mg
挥	hee
胡	hj
散	rse
散	rze
板	bs
仅	jhu
隐	yhai
怒	nn
床	cfo
苏	ru
料	lv
股	gju
局	jja
班	bwe
图	tj
岁	rxi
礼	lkoa
独	dj
初	cuo
福	fjo
顺	sbu
狂	kf
默	mqi
巨	jne
既	jmae
松	ro
证	v;o
烈	lxe
否	fle
恶	nde
恶	nxe
恶	wne
治	vmo
缓	hs
排	pfe
费	fx
拍	pr
耳	ndei
医	yie
寒	hso
哭	ku
温	wy
府	fjoe
担	dwe
担	dze
称	cb
称	c;
余	yju
钟	voue
泪	lxoo
烟	yw
仍	rp
具	jni
忘	wcoe
恩	ny
毕	bme
警	jp
蓝	lsei
宫	goo
吸	xii
陆	lna
究	jo
抓	v/
压	y/eu
沙	s/o
救	jq
呆	dri
河	hdo
迷	mko
枪	qr
组	zja
权	qse
叹	tz
孙	ry
卷	jso
查	ca
毫	hgo
春	cy
察	cao
圣	s;a
草	cge
较	jvea
胜	s;u
遇	yni
充	coo
史	ski
堂	tfi
防	ffa
据	jnei
猛	mpua
骑	qka
土	tje
卡	ka
助	vni
京	j;oe
银	yhu
贵	gxi
永	yloa
质	vmuu
屋	wu
须	xuu
副	fne
换	hze
刺	cm
属	sja
闻	who
境	j;ei
禁	jye
禁	jbe
阴	yya
共	gqe
负	fnua
弄	nq
翻	fw
虎	hji
层	cpa
喊	hsi
逃	tgu
晓	xgi
座	zqo
雅	ya
参	cwa
射	sxu
婚	hy
险	xsa
君	jya
划	h/ea
坚	jwi
价	j/u
柔	rla
超	ct
扬	yfei
科	ke
按	nze
狠	hhu
野	ydi
秦	qhe
秘	mmu
熟	sloe
熟	sjo
置	vmi
仙	xwu
模	mle
模	mje
伸	syu
波	bo
肉	rqi
假	ja
假	j/ui
齐	qko
舞	wju
脱	tou
广	gfo
姑	gu
麻	mao
投	tle
顶	dpe
致	vmea
责	zde
景	jpi
营	ype
维	wda
设	sxoa
坏	hce
啦	l/i
秀	xq
败	bc
眉	mda
州	voo
药	yv
承	cpai
案	nzo
狼	lfu
专	vw
偷	toui
画	h/ei
吴	wji
店	dzoe
哦	nqi
弹	dza
弹	tsa
食	sku
欲	ynu
抬	tfe
标	bte
秋	qo
厉	lmeu
良	lfo
际	jmai
状	vc
烦	fso
午	wjue
摆	bfei
戏	xmao
桌	voi
船	csu
短	dsu
村	cye
某	mlei
摸	mo
付	fnui
演	ysoo
规	gee
萧	xte
封	f;e
握	wq
田	tsi
唐	tfo
藏	cfei
震	vbe
混	hho
混	hb
虚	xui
透	tqu
纪	jmaa
凌	lpo
休	xou
嘛	m/i
梅	mde
紫	zki
歌	geei
临	lhi
毒	dje
宗	zo
著	vne
索	rle
印	ybu
寻	xh
湖	hjo
劲	jbao
职	vkei
技	jme
恨	hbo
婆	pl
杰	jdei
羽	yja
咱	zs
素	rnee
凡	fsu
值	vku
飘	pt
养	yfo
嘿	heia
普	pj
宁	np
宁	n;
吓	x/i
兽	sqo
夏	x/e
读	djo
街	jeu
牛	nl
仿	ffu
胸	xoua
浪	lcoo
富	fno
尚	sci
宇	yjoo
骨	gji
智	vmue
纷	fya
升	s;ue
叔	sui
善	sz
弱	rqa
架	j/au
卖	mc
袋	dcui
网	wfi
朱	vu
骂	m/ia
雄	xl
赛	rc
略	lxi
杯	bee
施	sio
墙	qfe
环	hse
罪	zx
牙	yae
窗	cr
柳	llei
厅	t;e
搞	gg
端	dwo
洞	dqoo
适	smu
拥	yo
释	smuo
洋	yfoo
肩	jwo
魂	hhe
闹	nv
蒙	m;ei
蒙	mpe
洗	xko
灯	d;o
借	jxu
伯	bl
免	msu
菜	cc
验	yza
凤	f;u
鱼	yjua
徐	xju
型	xpee
娜	n/au
娜	nla
暴	bvi
亡	wfo
讨	tgoa
辈	bxie
懂	dl
腿	tdu
灭	mxe
妙	mv
效	xvo
危	weu
优	you
盘	psu
套	tve
丁	d;e
趣	qn
妖	yt
束	snei
杂	za
诗	sioa
迎	ypu
舍	sdu
旧	jqi
彩	cfu
委	wdu
挂	g/
笔	bku
狗	glu
鲜	xwua
鲜	xsua
纸	vka
抗	kcei
探	tze
韩	hsei
尼	nk
控	kqe
惜	xkoo
珠	vue
抽	coe
创	cru
创	ccu
归	gei
挺	tpe
奋	fbe
陪	pd
硬	y;eu
避	bma
园	ysia
托	toe
训	xbo
勇	yla
聊	lge
种	vque
奶	nfa
庄	vroe
奔	by
奔	bb
镇	vbu
拳	qso
采	cfuo
研	yseu
配	px
介	jxuo
尊	zy
冒	mvi
虑	lni
敬	j;ei
丹	dwu
舒	suu
蛋	dzai
哼	h;
宋	rqo
济	jmoo
妇	fna
箭	jzue
择	vfe
择	zdei
犯	fzu
欣	xyu
甲	jai
欧	no
课	kxoa
扑	pu
菲	fee
菲	fd
燕	yzei
曲	qui
曲	qji
躲	dlu
玄	xso
幻	hza
茶	cae
折	vde
折	sde
伊	yiui
傻	sa
姓	x;a
源	ysoo
洛	lqoo
遍	bzoa
臣	chei
弃	qmo
犹	ylu
占	vwi
占	vzi
漂	pto
漂	pgo
漂	pv
挑	tt
挑	tge
获	hqei
绿	lnaa
峰	f;i
俊	jbui
疯	f;o
列	lxeu
作	zou
森	rye
妻	qie
恋	lzo
误	wno
拜	bcu
伟	wdui
移	ykue
纳	n/aa
党	df
罢	b/i
腰	ytu
巧	qg
孤	gua
闭	bmo
圆	ysia
碰	p;
镜	j;u
软	rsea
厚	hqeu
累	ldi
累	lxia
昨	zli
幽	yoi
悲	bei
丈	vce
牌	pfu
降	jc
降	xfa
颜	ysoe
劳	lgei
偏	pw
省	sp
省	xpi
糊	hjou
糊	hno
馆	gsua
烧	st
谓	wxo
财	cfia
舰	jzuu
汗	hsoo
汗	hzo
奈	nce
操	cte
迹	jmoe
尸	sia
悄	qgo
残	cse
尖	jwiu
鲁	lj
锋	f;ue
圈	jzi
圈	qwi
油	yloo
俩	la
项	xce
撞	vcei
瞬	sbi
忆	ymoo
盖	gco
尤	yleu
徒	tju
乡	xra
概	gce
户	hnoa
荡	dce
艺	yme
增	z;
祖	zjo
困	kb
殿	dzae
迅	xba
横	hp
横	h;e
范	fze
律	lnu
番	fwu
企	qku
惨	csoo
限	xzai
聚	jnei
含	hsu
凭	ppui
剧	jna
碎	rxeu
躺	tfu
缘	ysa
凉	lfoe
腾	tpu
织	via
抢	qre
抢	qfei
预	yna
沈	sho
替	tm
孔	kla
批	pi
康	kro
惑	hqea
唯	wdia
率	lno
惯	gzo
登	d;a
互	hne
盯	d;i
稍	stu
宣	xwo
唱	cci
诚	cpoa
剩	s;ue
咬	ygi
育	yno
诸	vuo
触	cnu
晨	chi
策	cx
疼	tpo
漫	mzoo
材	cfei
补	bj
私	riu
吐	tji
吐	tn
纯	chaa
艾	ncei
贝	bxia
谷	gjuo
庭	tpoe
挡	dfe
晃	hfi
晃	hci
吉	jkei
吹	cei
仔	zf
仇	clu
凝	npo
鼓	gje
农	nlo
席	xkoe
征	v;uu
帅	sciu
附	fnai
缺	qeu
塞	rr
塞	rco
塞	rxo
豪	hgoe
亦	ymoe
杜	dne
努	nja
判	pzo
谋	mlo
胆	dsua
尘	chiu
扎	v/e
滚	gh
闷	myo
闷	mb
迟	cka
稳	whu
翼	ymao
诺	nqo
闲	xsoi
灰	heeu
朵	dlua
盛	cpeu
盛	s;eu
梁	lfoo
晶	j;ia
餐	cwi
爆	bvo
伦	lhu
娇	jta
侧	cxu
愣	l;o
鼻	bkui
轮	lhe
昏	hyu
抖	dle
陷	xzai
敏	mhu
词	cko
慌	hr
愤	fbo
怜	lsoo
颤	cz
阶	jea
苍	cre
距	jnia
郑	v;ou
川	cwu
扫	rg
扫	rv
逼	bi
县	xzi
忧	yoo
童	tlo
执	vkei
丢	dou
荣	rlei
臂	bmae
逐	vje
傲	nvu
戴	dcei
芒	mfe
庆	q;oe
伴	bzu
袭	xke
供	gou
供	gqu
积	jiu
测	cxo
遥	ygu
阻	zjai
例	lmui
睁	v;i
岛	dgu
遗	yki
瞪	d;ia
慕	mnei
皱	vqua
博	ble
幕	mnei
猜	crua
益	ymou
净	j;oe
泽	zdo
炼	lzou
监	jwii
鸡	jia
珍	vy
伏	fjui
绍	sva
曹	cgei
爬	pa
丫	y/o
炸	va
炸	v/o
壁	bmae
涌	yloo
凶	xouo
郎	lfoa
宿	rnoo
宿	xlo
宿	xqo
怨	yzu
醉	zxe
拼	py
迫	pqu
革	gde
瞧	qgi
奥	nvui
输	sue
莉	lmei
忠	voia
颗	kei
嗯	nyi
佳	j/ui
旅	ljo
仁	rhu
鸟	ngu
骗	pza
浩	hvo
塔	ta
胖	pcu
绪	xna
枫	f;ei
拔	ba
赞	zz
炮	pvo
傅	fnui
凯	kfi
邪	xdea
芳	fre
浑	hhoo
夺	dleu
宽	kw
堆	dee
裂	lxeu
遭	zt
赤	cme
旋	xsoe
旋	xzo
扭	nle
洁	jdoo
浮	fjoo
悉	xiuo
难	nza
擦	c/e
慧	hxe
典	dsi
赏	sf
匆	cou
评	ppo
纵	zqa
莲	lsei
雾	wneo
乌	wuu
跃	yxia
壮	vco
贴	tei
丰	f;ee
隔	gda
健	jzui
辛	xyoe
抵	dke
竹	vju
彻	cxuu
摩	mloe
轰	ho
编	bwa
肚	dju
肚	dnu
插	c/ei
磨	mloe
磨	mqo
哎	nr
御	ynuu
耐	nceu
惧	jno
氏	smua
辉	heio
扶	fje
恢	heo
貌	mvu
额	ndo
述	snei
票	pve
录	lnae
拖	toei
膀	bfu
膀	pfua
鹰	y;o
孟	m;a
递	dmou
瑞	rxee
唇	cheu
暂	zze
货	hqui
琴	qhee
踪	zoi
码	mae
慰	wxae
蛇	sdi
玲	lpe
晕	yyi
晕	ybi
损	rhe
轩	xwe
粗	cuou
掩	ysei
屁	pm
悠	youi
仰	yfu
零	lpeo
盟	mpi
途	tjuo
贼	zdia
洪	hloo
悟	wnoo
固	gni
讶	y/oa
冬	doua
滑	hao
甜	tsu
郁	yne
琳	lhee
辆	lce
乃	nfau
猪	vuu
暖	nsia
妮	ni
挣	v;ei
旦	dzi
估	guu
坦	tse
甘	gwei
佩	pxu
莱	lfe
享	xfo
吼	hli
构	gqei
粉	fh
萨	r/
吻	whi
潜	qsoo
瓶	ppou
偶	nlu
戒	jxe
浓	nloo
毁	hdui
销	xtu
迪	dki
拒	jnei
绕	rva
勒	lxei
勒	le
朗	lfoa
嘻	xiia
尾	wdae
尾	ykae
帐	vci
废	fxo
延	ysu
敲	qt
烂	lzou
曼	mzi
厌	yzeu
宜	yko
羞	xoo
喂	wxia
吟	yhi
滴	dio
洲	vooo
爹	deu
艳	yzee
晴	qpi
抚	fjei
缩	roa
协	xdei
央	yr
悔	hdoo
肖	xti
肖	xvi
缠	csa
脆	cxua
痕	hhoe
伍	wjui
寂	jmoo
启	qkoa
翔	xfou
薄	bge
薄	blei
薄	bq
侯	hlui
劝	qz
郭	gooe
奴	njau
鸣	mpia
倾	q;u
彼	bkuu
扔	r;
撒	r/e
撒	ra
豫	ynao
检	jse
针	vyu
耀	yvi
痴	cio
姆	mja
篇	pwu
椅	yke
厂	cfeu
董	dlei
熊	xla
埋	mfei
乖	gru
狐	hju
蒋	jfe
踏	t/
隆	lla
括	kqei
潮	cgo
唉	nci
穷	qlo
聪	coei
唤	hzi
泰	tcee
版	bsu
末	mqe
旗	qkoe
仪	ykui
焦	jtu
猫	mt
盗	dvoe
侍	smui
挤	jkei
款	ks
拾	skei
荒	hre
强	qfa
姿	zio
域	ynei
搭	d/e
脉	mcu
脉	mqu
授	sqe
俗	rju
融	rlei
狱	ynua
欺	qiei
访	ffo
桥	qge
锁	rlu
霸	b/e
牵	qwe
池	ckoo
钻	zw
钻	zzu
港	gfoo
喃	nsia
廷	tpue
乘	cpue
玛	maee
奉	f;ee
扯	cd
岳	yxui
减	jsoe
弯	ww
夹	jae
辞	cku
岸	nzi
岂	qki
屈	qua
恼	ngo
哲	vdei
季	jmu
召	vva
丧	rre
丧	rce
尝	cfio
恭	goei
载	zfe
载	zc
瘦	sqoe
皆	jee
颇	po
茫	mfei
染	rso
肃	rna
爽	sfe
亏	kee
吞	ty
惹	rde
哀	nro
乔	qgu
趁	cbe
铺	puu
铺	pn
脏	zr
吕	lji
奖	jfo
倍	bxu
汤	tr
振	vbei
婷	tpa
牢	lgo
扰	rge
溜	lo
溜	lqoo
庞	pfo
臭	cqu
悦	yxoo
赫	hxei
赢	ypo
跪	gxia
麦	mce
枝	viei
侠	xa
泉	qsui
劫	jdei
炎	ysou
泥	nko
赌	dji
弓	goa
魏	wxue
罩	vvi
疾	jko
饰	smua
符	fjue
垂	cdu
映	y;i
漠	mqoo
脖	blu
饮	yhua
沿	ysoo
懒	lsoo
肤	fuu
桑	rra
堪	kwe
燃	rsou
卓	vli
祝	vnoa
赖	lcei
宾	byo
贾	jaei
喘	csi
焰	yzo
吵	cgi
冥	mpo
鞋	xdei
逸	ymu
均	jyei
库	kn
裤	kno
碗	wseu
航	hfuu
踢	ti
姨	ykau
酸	rwe
啸	xvia
龄	lpi
阁	gdo
舌	sdue
箱	xrue
冯	fp
邦	bre
钢	grue
霞	xae
促	cnui
泡	pvoo
盾	dbu
羊	yfou
碧	bmee
援	ysei
忌	jmae
结	jeaa
抹	mlei
抹	mqei
倩	qzu
锐	rxu
喷	pyi
拦	lsei
嘉	j/e
袖	xqoa
殊	sueu
辰	cheu
繁	fsue
络	lqa
抛	pte
嫁	j/au
咒	vqi
撤	cxe
键	jzue
湿	sioo
恰	q/
虫	cli
审	shoo
献	xze
媚	mxa
贤	xsi
葛	gdei
刹	s/u
刹	c/u
袁	ysei
摔	sre
序	xno
筑	vnu
斜	xduo
瓦	wa
涂	tjo
湾	wwo
莎	s/e
崇	clia
猎	lxu
刑	xpee
墨	mqia
娃	waa
梯	tie
桃	tgei
豆	dqe
驾	j/au
浅	qsoo
径	j;uu
饿	nxu
疲	pko
搬	bwei
瓜	g/u
莹	ypei
滋	zioo
润	rboo
铃	lpue
蛮	mso
蒂	dme
拨	boe
涛	tto
予	yjao
勾	goua
惠	hxei
析	xie
落	l/e
落	lve
砍	kse
撑	c;e
截	jdei
措	cqe
币	bmu
薇	weei
愈	ynuo
督	du
酷	kne
祥	xfoa
怖	bno
侵	qyu
岩	ysia
扮	bze
糟	zto
盈	ypa
腹	fnua
斩	vse
尺	ckae
签	qwu
稀	xiue
掏	tte
夸	k/
汽	qmoo
液	yxoo
姬	jiau
愧	kxoo
汇	hxo
柱	vnei
粮	lfou
堡	bgui
仗	vcu
笨	bbu
奏	zqe
歉	qzo
甩	sfu
怔	v;oo
允	yhao
竞	j;oe
祸	hqo
耶	yee
耶	yde
爵	jduo
绩	jmaa
诱	yqo
呜	wui
穴	xdoo
黎	lku
租	zu
培	pde
砸	zae
井	jpe
窝	wo
弥	mka
返	fsuu
匹	pke
啥	sai
凑	cqo
奸	jwa
陌	mqa
叛	pzou
核	hde
核	hje
卧	wqe
幅	fji
眨	vai
耗	hve
洒	rao
怡	ykoo
详	xfoa
卢	ljie
扣	kqei
哇	w/
丑	cla
勉	msua
孝	xvei
矛	mga
氛	fyu
衡	hpu
陶	tga
购	gqi
汪	wr
僵	jru
疗	lgoe
妃	fea
罚	fai
系	jmua
棋	qkei
缝	fpa
缝	f;a
咐	fni
躯	quu
泛	fzo
愁	clue
血	xxu
搜	roe
慈	ckou
肥	fdu
笼	llue
篮	lsu
俱	jnu
惟	wdo
柜	gxe
捉	voe
悬	xsia
霍	hqeo
泄	xxoo
咽	ywi
咽	yzi
齿	cki
秒	mgu
勤	qhei
扩	kqei
屏	bp
屏	ppa
霜	sreo
袍	pgoa
蝶	ddi
祭	jmua
夫	fjee
厨	cjeu
胁	xdua
璃	lkee
劈	pia
赚	vzia
锦	jhue
尬	g/e
尴	gweu
熙	xiei
寺	rme
昌	cri
贺	hxa
巾	jyi
描	mge
捕	bje
陵	lpai
咳	kd
扇	swo
扇	szo
虹	hlia
绵	msa
撕	riei
蔡	cce
催	ceu
彭	ppe
宠	clo
贪	twu
辱	rje
誓	smei
盒	hduo
寸	cbei
披	pie
搂	loe
搂	llei
饶	rgu
跌	dei
欠	qzua
肌	jiua
售	squ
巡	xha
抑	ymei
纹	wha
宏	hloo
幼	yqa
萍	ppei
驻	vna
丛	cluo
亿	ymui
播	boei
俄	ndui
刃	rba
蕾	lde
挨	nre
仲	vqui
迈	mcea
违	wde
辩	bzoe
埃	nrei
艘	rou
琪	qkee
灾	zro
僧	r;u
渡	dno
卑	beu
雕	dtu
鼠	sju
讯	xboa
辣	l/o
刷	s/a
艰	jwao
斥	cmu
裙	qho
翠	cxa
饱	bgua
掠	lxei
询	xho
勃	blei
夕	xku
矮	nfu
瑶	yge
赐	cmi
捏	ne
闯	cfoi
姚	yga
瑟	rxee
渴	kdo
谅	lcoa
昂	nfi
串	czi
沟	gooo
涉	sxoo
咕	gui
驶	skaa
摄	sxe
贫	phu
辕	ysea
婉	wsa
答	d/u
鹏	ppua
姜	jro
碍	nceu
荷	hdei
荷	hxei
冠	gwoa
冠	gzoa
魅	mxu
玫	mdee
裁	cfei
坡	poe
鸿	hloo
邓	d;ao
歪	wre
乏	fau
申	syi
割	geo
巫	wue
衫	swoa
棒	bce
阔	kqo
泣	qmoo
韦	wdee
恍	hfoo
贯	gza
魄	pqui
柄	bpe
患	hzia
覆	fnei
蜜	mmo
婴	y;ia
励	lmeu
锅	goue
陛	bmai
遮	veo
帕	p/i
咖	g/i
咖	k/i
嫌	xsau
胳	geu
挖	w/e
啪	p/ia
矿	kceu
凄	qio
爪	vgu
爪	vau
眠	msi
穆	mnu
啡	feia
吾	wjei
坛	tsei
脾	pku
恒	hpo
屠	tja
玻	boee
蓉	rlei
础	cjeu
曰	yei
耸	rluo
膊	blua
逆	nm
寿	sqee
驱	quaa
猴	hlua
佣	yqu
毅	ymoe
舅	jqu
铜	tlu
娟	jwau
眯	mki
淫	yho
吩	fyi
匪	fde
牧	mnue
役	ymuu
寄	jmoo
诡	gdoa
纤	xwa
腐	fjoe
姻	yyau
晰	xiia
渊	ywo
亭	tpoe
邀	ytui
哄	hoi
哄	hlia
骚	rt
墓	mnei
柯	keei
筋	jyue
崔	ceia
灿	czo
捷	jdei
淋	lho
弗	fja
辑	jkea
棍	gb
绳	spa
喝	hxi
频	phi
廊	lfoe
畏	wxia
歇	xei
裹	glo
苗	mgei
盼	pzi
咯	geia
咯	loi
咯	lqi
耍	sae
煞	s/ua
寝	qhoo
瞒	msia
添	two
嫂	rga
纠	joa
慨	kfo
嚷	rf
驰	ckaa
拐	gfe
宴	yzoo
津	jyo
岚	lsi
浴	ynoo
耻	ckei
挽	wsei
页	yxeu
誉	ynoo
牲	s;ue
乳	rjuo
仓	cruo
逝	smei
喉	hlia
逛	gcu
樱	y;ei
兼	jwou
戈	geea
哗	h/ia
哗	hai
会	kcu
涯	yao
捧	ppei
铭	mpue
障	vca
摊	twe
跨	k/ia
妥	tluo
揉	rlei
晋	jbei
寞	mqoo
寨	vcoo
漆	qioo
污	wuo
嘲	cgia
枚	mdei
吊	dvi
乾	qsei
馨	xye
伪	wdui
嗓	rfi
呈	cpi
卿	q;ua
楠	nsei
籍	jkue
裸	lloa
链	lzu
灌	gzoo
昆	ky
畅	ccia
逍	xtio
帽	mvia
阅	yxoi
逗	dqeo
蹲	dy
踩	cfia
窜	czoo
哑	yai
趴	p/ia
逢	fpu
植	vkei
媒	mdau
韵	ybo
昭	vti
尹	yhae
谦	qwo
档	dcei
趟	tre
趟	tcei
沾	vwo
兔	tnu
订	d;oa
朴	pje
瞎	x/ia
鞭	bwei
俺	nsu
斤	jyuu
翅	cmei
肠	cfua
雀	qti
雀	qgiu
雀	qxi
慎	sbo
盆	phuo
迁	qwue
镖	btu
芬	fye
崖	yaia
丘	qou
蠢	chee
庙	mvo
潘	pwo
颖	ypua
拓	tqe
娶	qje
纱	s/aa
漏	lqoo
