的	的话	的确
服	服务员	服务
记	记得	记忆
受	受到	受伤
慢	慢慢	慢悠悠
反	反应	反正
杨	杨树	杨柳
班	班主任	班级
似	似乎	似的
似	似乎	似的
山	山上	山洞
部	部队	部分
跑	跑车	跑过来
认	认识	认为
倒	倒霉	倒下
越	越来越	越发
且	且不说	且说
且	且不说	且说
海	海洋	海边
晚	晚上	晚饭
惊	惊讶	惊喜
工	工作	工资
物	物品	物质
帮	帮助	帮忙
喜	喜欢	喜悦
金	金色	金属
怕	怕死	怕怕
影	影响	影子
与	与此同时	与其
冷	冷笑	冷静
爱	爱情	爱好
友	友谊	友好
脑	脑袋	脑海
往	往往	往常
办	办法	办公室
步	步伐	步子
总	总是	总算
灵	灵魂	灵气
嘴	嘴里	嘴角
错	错误	错过
五	五个	五年
教	教室	教官
界	界面	界限
饭	饭店	饭菜
刻	刻苦	刻意
至	至于	至少
乎	乎呼	
弟	弟弟	弟子
语	语气	语文
每	每天	每个
玩	玩笑	玩意
量	量子	量身
指	指着	指向
青	青年	青春
雨	雨水	雨伞
火	火车	火焰
室	室友	室内
双	双手	双眼
半	半个	半天
结	结果	结束
传	传来	传说
传	传来	传说
欢	欢迎	欢快
系	系统	系列
系	系统	系列
容	容易	容貌
句	句子	句号
句	句子	句号
忙	忙碌	忙活
失	失去	失望
收	收拾	收藏
父	父亲	父母
血	血液	血脉
衣	衣服	衣领
谢	谢谢	谢谢你们
拉	拉开	拉拉
度	度过	度假
落	落下	落地
管	管理	管家
日	日子	日本
爸	爸爸	爸妈
整	整个	整理
准	准备	准确
酒	酒吧	酒店
奇	奇怪	奇迹
奇	奇怪	奇迹
雪	雪儿	雪白
般	般的	般地
凡	凡人	凡是
流	流氓	流出
非	非常	非凡
星	星期	星球
件	件物品	件数
赵	赵云	赵家
宇	宇宙	宇文
立	立刻	立马
梦	梦想	梦境
杀	杀手	杀人
旁	旁边	旁人
特	特别	特殊
楚	楚楚	楚歌
由	由于	由此
命	命运	命令
苏	苏醒	苏子
视	视线	视频
怪	怪物	怪异
合	合适	合同
合	合适	合同
底	底下	底气
市	市场	市里
包	包括	包裹
提	提醒	提升
提	提醒	提升
息	息怒	息息相关
终	终于	终究
备	备注	备用
条	条件	条件反射
识	识相	识趣
识	识相	识趣
保	保安	保护
告	告诉	告别
司	司机	司徒
乐	乐意	乐趣
乐	乐意	乐趣
单	单位	单纯
单	单位	单纯
单	单位	单纯
近	近乎	近距离
答	答应	答案
题	题目	题材
夏	夏天	夏日
脚	脚步	脚下
睡	睡觉	睡着
伤	伤害	伤口
冲	冲着	冲动
够	够呛	够不够
夜	夜晚	夜色
请	请问	请假
言	言语	言辞
楼	楼下	楼上
性	性格	性感
呵	呵呵	呵斥
呵	呵呵	呵斥
停	停下	停止
根	根本	根据
修	修炼	修改
城	城市	城里
丝	丝毫	丝丝
深	深深	深处
睛	睛明穴	睛天
母	母亲	母子
片	片刻	片子
显	显得	显然
百	百年	百里
华	华夏	华丽
敢	敢不敢	敢动
战	战斗	战争
级	级别	级任务
秦	秦天	秦川
交	交给	交流
切	切磋	切记
黄	黄毛	黄金
急	急忙	急促
穿	穿着	穿越
久	久久	久违
绝	绝对	绝望
装	装作	装备
业	业务	业绩
考	考虑	考试
兴	兴奋	兴趣
续	续命	续写
顿	顿时	顿饭
警	警察	警官
消	消失	消息
阵	阵阵	阵法
赶	赶紧	赶忙
妹	妹妹	妹子
喝	喝酒	喝完
响	响起	响声
它	它们	它山之石
异	异能	异常
员	员工	员外
速	速度	速度快
留	留下	留在
害	害怕	害羞
院	院子	院长
苦	苦笑	苦涩
使	使用	使得
朋	朋友	朋友圈
击	击中	击杀
石	石头	石子
石	石头	石子
化	化作	化为
凌	凌晨	凌云
摇	摇头	摇摇头
武	武器	武功
亮	亮光	亮起
暗	暗暗	暗自
背	背后	背影
毕	毕竟	毕业
确	确实	确定
千	千万	千年
断	断断续续	断裂
照	照顾	照片
或	或者	或许
易	易水寒	易经
各	各种	各位
买	买点	买来
代	代表	代价
差	差不多	差点
差	差不多	差点
围	围着	围观
即	即使	即将
唐	唐天	唐朝
台	台上	台下
医	医院	医生
队	队长	队伍
拍	拍了拍	拍拍
呼	呼吸	呼呼
依	依旧	依然
醒	醒来	醒过来
板	板凳	板砖
精	精神	精致
习	习惯	习惯性
淡	淡淡的	淡淡
破	破旧	破坏
军	军训	军人
浩	浩然	浩瀚
送	送到	送给
角	角落	角色
待	待遇	待会儿
吴	吴子	吴起
钟	钟离	钟声
计	计划	计较
务	务必	务农
期	期待	期间
期	期待	期间
报	报告	报道
晓	晓得	晓之以理
默	默默	默默地
写	写作	写下
掉	掉落	掉下来
阿	阿姨	阿飞
鬼	鬼魂	鬼脸
况	况且	况味
求	求求	求饶
萧	萧然	萧瑟
决	决定	决心
功	功夫	功法
八	八卦	八点
块	块钱	块头
伙	伙伴	伙计
继	继续	继承
试	试试	试卷
混	混混	混蛋
利	利用	利益
低	低头	低着头
沉	沉默	沉重
露	露出	露露
简	简单	简直
球	球场	球员
峰	峰顶	峰回路转
必	必须	必要
叔	叔叔	叔伯
哦	哦哦哦	
诉	诉说	诉说着
复	复杂	复习
江	江湖	江南
课	课本	课程
注	注意	注视
顾	顾客	顾不得
店	店里	店铺
抱	抱歉	抱怨
朝	朝着	朝阳
朝	朝着	朝阳
呀	呀呀	呀呀学语
刀	刀疤	刀子
段	段时间	段子
若	若有所思	若隐若现
床	床上	床边
肯	肯定	肯德基
客	客气	客厅
尽	尽管	尽量
疑	疑惑	疑问
群	群众	群体
桌	桌子	桌上
号	号码	号称
众	众人	众多
木	木头	木棍
缓	缓缓	缓缓的
制	制作	制造
兄	兄弟	兄妹
需	需要	需求
居	居然	居住
初	初中	初三
程	程度	程序
古	古代	古怪
格	格外	格斗
极	极为	极其
您	您好	您老
靠	靠近	靠着
玉	玉佩	玉石
晨	晨曦	晨练
米	米饭	米左右
热	热闹	热情
痛	痛苦	痛快
未	未来	未知
足	足够	足以
招	招呼	招手
莫	莫名	莫名其妙
除	除了	除非
及	及时	及其
持	持续	持枪
游	游戏	游客
超	超级	超过
充	充满	充数
希	希望	希冀
份	份子	份儿
则	则安之	则甚
喊	喊道	喊声
冰	冰冷	冰箱
势	势力	势头
推	推开	推荐
孙	孙子	孙悟空
形	形成	形象
胖	胖子	胖胖的
狠	狠狠	狠心
拳	拳头	拳法
跳	跳动	跳跃
抓	抓住	抓起
南	南宫	南方
左	左右	左手
细	细节	细细
病	病房	病人
乱	乱七八糟	乱说
股	股票	股份
陆	陆续	陆陆续续
魔	魔法	魔鬼
轩	轩辕	轩辕剑
首	首先	首歌
右	右手	右边
类	类似	类型
选	选择	选项
宝	宝贝	宝宝
另	另外	另一边
排	排名	排队
忍	忍不住	忍住
韩	韩国	韩语
味	味道	味儿
午	午饭	午餐
品	品牌	品尝
徐	徐徐	徐福
士	士兵	士气
七	七点	七个
丽	丽丽	丽莎
皮	皮肤	皮鞋
罗	罗兰	罗盘
线	线索	线条
练	练习	练武
渐	渐渐	渐暗
区	区别	区域
区	区别	区域
烟	烟雾	烟头
吸	吸引	吸收
瞬	瞬间	瞬移
六	六个	六点
护	护士	护栏
怒	怒火	怒吼
术	术士	术语
术	术士	术语
辰	辰星	辰龙
毛	毛病	毛巾
巴	巴掌	巴不得
凑	凑足	凑合
熟	熟悉	熟练
建	建筑	建议
达	达到	达成
剑	剑眉	剑法
运	运气	运动
寒	寒冷	寒风
领	领导	领头
枪	枪声	枪口
摸	摸了摸	摸摸
岁	岁月	岁数
象	象征	象征性
羽	羽毛	羽绒服
换	换上	换成
虎	虎子	虎视眈眈
副	副驾驶	副校长
察	察觉到	察觉
激	激动	激烈
论	论坛	论文
闪	闪过	闪电
元	元素	元气
网	网吧	网络
松	松开	松手
呆	呆呆	呆滞
呆	呆呆	呆滞
资	资料	资格
念	念头	念叨
调	调查	调侃
调	调查	调侃
袋	袋子	袋中
愿	愿意	愿望
枫	枫叶	枫林
节	节奏	节目
讲	讲台	讲话
怀	怀疑	怀里
故	故事	故意
咱	咱们	咱俩
娘	娘娘	娘家
散	散发	散发出
雷	雷电	雷劈
啦	啦啦队	啦啦队员
顺	顺着	顺便
救	救命	救人
哭	哭泣	哭声
官	官方	官员
改	改变	改造
器	器官	器材
团	团队	团长
抬	抬头	抬起
观	观察	观看
聊	聊天	聊着
菜	菜刀	菜单
胡	胡乱	胡思乱想
费	费用	费力
奶	奶奶	奶茶
追	追求	追问
麻	麻烦	麻木
志	志远	志愿
香	香烟	香味
歌	歌曲	歌声
压	压力	压抑
恶	恶心	恶魔
恶	恶心	恶魔
忘	忘记	忘不了
树	树林	树上
景	景象	景色
掌	掌握	掌控
严	严肃	严重
局	局长	局面
座	座位	座椅
耳	耳朵	耳边
肉	肉体	肉眼
村	村里	村子
恐	恐怕	恐惧
挺	挺拔	挺不错
示	示意	示弱
吓	吓了一跳	吓人
吓	吓了一跳	吓人
戏	戏谑	戏弄
戏	戏谑	戏弄
存	存在	存款
俩	俩个	俩眼
导	导致	导演
基	基本	基本上
式	式样	式微
九	九点	九天
杰	杰克	杰作
烦	烦恼	烦躁
英	英雄	英语
狗	狗血	狗屁
约	约定	约会
翻	翻开	翻身
佛	佛祖	佛教
态	态度	态势
柳	柳树	柳眉
甚	甚至	甚至于
既	既然	既然如此
置	置信	置身于
舍	舍不得	舍友
迷	迷茫	迷迷糊糊
族	族长	族人
查	查看	查询
查	查看	查询
遇	遇到	遇见
统	统一	统统
组	组织	组成
弄	弄死	弄清楚
弄	弄死	弄清楚
曾	曾经	曾几何时
曾	曾经	曾几何时
嘿	嘿嘿	嘿嘿嘿
嘿	嘿嘿	嘿嘿嘿
摆	摆手	摆脱
腿	腿部	腿脚
眉	眉头	眉毛
仅	仅仅	仅仅只是
较	较为	较大
蓝	蓝色	蓝天
集	集团	集中
布	布满	布置
按	按照	按钮
药	药材	药剂
证	证明	证据
取	取出	取得
夫	夫人	夫妻
伸	伸手	伸出
牛	牛仔裤	牛奶
担	担心	担忧
幸	幸福	幸好
斗	斗争	斗气
料	料到	料理
宿	宿舍	宿主
宿	宿舍	宿主
支	支持	支撑
雅	雅典娜	雅静
止	止住	止不住
坏	坏人	坏事
蛋	蛋糕	蛋蛋
偷	偷偷	偷看
温	温柔	温暖
模	模样	模糊
毫	毫无	毫不犹豫
假	假装	假期
抽	抽烟	抽奖
懂	懂得	懂事
洗	洗漱	洗澡
炼	炼制	炼化
质	质量	质疑
隐	隐藏	隐隐
商	商量	商场
引	引起	引来
屋	屋里	屋子
架	架势	架子
傻	傻子	傻笑
负	负责	负担
短	短信	短发
食	食堂	食物
食	食堂	食物
层	层次	层层
欣	欣赏	欣慰
泪	泪水	泪流满面
技	技能	技术
齐	齐齐	齐声
价	价格	价值
卖	卖掉	卖力
闹	闹钟	闹事
威	威胁	威力
奈	奈何	奈何桥
沈	沈默	沈家
沈	沈默	沈家
宁	宁静	宁愿
铁	铁门	铁棍
退	退出	退学
忽	忽然	忽略
谈	谈话	谈恋爱
堂	堂堂	堂哥
余	余光	余地
画	画面	画画
猛	猛地	猛然
福	福利	福伯
叹	叹息	叹气
洛	洛阳	洛城
斯	斯文	斯斯文文
魂	魂魄	魂飞魄散
愣	愣住	愣愣
扬	扬起	扬长而去
展	展开	展现
境	境界	境地
墨	墨镜	墨迹
民	民警	民族
属	属于	属性
属	属于	属性
狼	狼狈	狼吞虎咽
狂	狂奔	狂风
巨	巨大	巨响
顶	顶级	顶尖
礼	礼貌	礼物
哼	哼哼	哼唱
卡	卡片	卡车
卡	卡片	卡车
哎	哎呀	哎哟
令	令人	令牌
昨	昨天	昨晚
承	承认	承受
具	具体	具有
草	草坪	草泥马
历	历史	历练
恩	恩爱	恩人
挥	挥手	挥舞
仿	仿佛	仿若
仙	仙人	仙界
骂	骂人	骂骂咧咧
普	普通	普通人
帅	帅气	帅哥
兵	兵器	兵团
义	义气	义务
阴	阴沉	阴影
闻	闻言	闻到
休	休息	休闲
释	释放	释然
疼	疼痛	疼爱
状	状态	状况
紫	紫色	紫光
窗	窗外	窗户
挂	挂断	挂掉
产	产生	产品
联	联系	联盟
克	克制	克拉
忆	忆起	忆往昔
伟	伟大	伟哥
演	演员	演讲
升	升级	升起
弹	弹性	弹幕
弹	弹性	弹幕
街	街道	街上
杯	杯子	杯酒
秘	秘密	秘书
秘	秘密	秘书
造	造成	造型
密	密码	密密麻麻
独	独自	独立
德	德行	德国
旧	旧金山	旧书
举	举起	举动
柔	柔软	柔和
刺	刺激	刺眼
弱	弱小	弱点
厉	厉害	厉声
北	北京	北方
透	透过	透露
助	助理	助手
肩	肩膀	肩上
科	科技	科学
震	震惊	震撼
养	养成	养活
野	野兽	野猪
鱼	鱼儿	鱼塘
躺	躺倒	躺椅
沙	沙发	沙哑
卫	卫生间	卫生
搞	搞定	搞笑
议	议论	议论纷纷
划	划过	划破
社	社会	社团
汉	汉子	汉语
致	致命	致远
尔	尔虞我诈	尔后
坚	坚持	坚定
劲	劲儿	劲风
握	握住	握紧
慕	慕容	慕容雪
尘	尘土	尘埃
训	训练	训斥
值	值得	值钱
称	称呼	称为
春	春天	春节
控	控制	控制不了
读	读书	读者
秋	秋天	秋风
脱	脱离	脱掉
餐	餐厅	餐馆
盘	盘子	盘古
专	专业	专门
套	套路	套装
碎	碎片	碎裂
究	究竟	究其原因
盯	盯上	盯住
厅	厅堂	厅长
笔	笔记本	笔直
姑	姑娘	姑姑
土	土地	土豪
藏	藏獒	藏身
藏	藏獒	藏身
额	额头	额外
逸	逸仙	逸夫
胸	胸口	胸前
章	章节	章鱼
介	介绍	介意
爆	爆发	爆炸
付	付出	付钱
幕	幕后	幕布
惑	惑乱	惑众
欧	欧阳	欧洲
郑	郑重	郑重其事
纸	纸条	纸巾
镜	镜子	镜头
泽	泽西	泽被
舒	舒服	舒适
案	案子	案件
禁	禁止	禁不住
陪	陪伴	陪陪
虚	虚空	虚弱
险	险些	险恶
宋	宋朝	宋明
呜	呜呜	呜咽
豪	豪华	豪爽
园	园子	园长
贵	贵族	贵重
据	据说	据我所知
图	图书馆	图案
良	良久	良好
辈	辈分	辈子
剩	剩下	剩余
尸	尸体	尸骨
墙	墙上	墙壁
秀	秀发	秀气
皱	皱眉	皱着眉头
择	择偶	择日
择	择偶	择日
辆	辆车	辆次
骨	骨头	骨骼
躲	躲过	躲避
兰	兰博基尼	兰花
逃	逃跑	逃离
碰	碰到	碰上
灯	灯光	灯火
补	补充	补偿
撞	撞击	撞死
富	富贵	富裕
银	银行	银行卡
田	田野	田地
舞	舞台	舞蹈
标	标准	标志
波	波动	波澜
材	材料	材质
昊	昊天	昊天罔极
印	印象	印记
攻	攻击	攻势
烈	烈日	烈火
投	投入	投资
牙	牙齿	牙刷
智	智商	智慧
否	否则	否定
否	否则	否定
闭	闭上眼睛	闭嘴
洋	洋溢着	洋洋
纪	纪念	纪律
寻	寻找	寻常
啥	啥事	啥时候
剧	剧烈	剧情
环	环境	环绕
喂	喂喂	喂养
俊	俊俏	俊美
婆	婆婆	婆娘
漂	漂亮	漂浮
擦	擦拭	擦擦
派	派出所	派出
趣	趣事	趣味
束	束缚	束手无策
佳	佳佳	佳人
妖	妖怪	妖孽
累	累死	累赘
吐	吐出	吐血
纷	纷纷	纷飞
永	永远	永恒
估	估计	估摸
牌	牌子	牌匾
圈	圈子	圈子里
圈	圈子	圈子里
颜	颜色	颜面
暴	暴露	暴力
惜	惜字如金	惜惜
暴	暴露	暴力
君	君子	君王
遍	遍布	遍地
票	票子	票房
型	型号	型态
争	争取	争吵
疯	疯狂	疯子
临	临时	临近
端	端木	端详
某	某个	某些
婷	婷婷	婷婷玉立
废	废话	废物
参	参加	参与
参	参加	参与
河	河边	河里
弃	弃子	弃婴
借	借口	借着
仔	仔细	仔细观察
菲	菲尔	菲律宾
唯	唯一	唯有
源	源头	源源不断
封	封印	封面
须	须臾	须菩提
拥	拥有	拥抱
验	验证	验尸
挑	挑战	挑衅
索	索性	索索
毅	毅力	毅然
恨	恨不得	恨铁不成钢
硬	硬是	硬生生
滚	滚蛋	滚滚
奋	奋斗	奋力
胜	胜利	胜负
责	责任	责怪
丢	丢人	丢下
肖	肖扬	肖恩
杂	杂志	杂乱
晴	晴天	晴朗
逼	逼近	逼迫
码	码字	码头
货	货车	货物
守	守护	守卫
适	适合	适应
配	配合	配置
适	适合	适应
唱	唱歌	唱片
广	广场	广告
广	广场	广告
咬	咬牙	咬牙切齿
杜	杜宇	杜康
丹	丹田	丹药
婚	婚礼	婚姻
帝	帝国	帝王
曲	曲线	曲子
腰	腰间	腰部
规	规矩	规定
滴	滴滴	滴答
犹	犹豫	犹如
败	败家	败类
悠	悠闲	悠悠
糊	糊涂	糊弄
迎	迎接	迎来
油	油门	油条
茶	茶几	茶杯
户	户口	户外
屁	屁股	屁事
聚	聚集	聚会
设	设计	设定
浪	浪费	浪漫
操	操场	操作
赛	赛车	赛场
睁	睁开	睁开眼睛
谓	谓之	谓语
危	危险	危机
莉	莉莉	莉莉丝
射	射击	射入
馆	馆子	馆主
悉	悉心	悉数
涛	涛声	涛澜
鼻	鼻子	鼻梁
兽	兽医	兽皮
毒	毒蛇	毒品
绍	绍兴	绍武
治	治疗	治病
瓶	瓶子	瓶颈
权	权利	权限
朱	朱雀	朱砂
恋	恋爱	恋人
鸡	鸡蛋	鸡皮疙瘩
诗	诗人	诗歌
递	递给	递过来
讶	讶异	讶然
防	防御	防止
讨	讨厌	讨论
洞	洞口	洞穴
吼	吼道	吼叫
勇	勇气	勇敢
幻	幻想	幻觉
瞪	瞪眼	瞪起
彩	彩票	彩虹
梁	梁山	梁平
罢	罢了	罢休
扫	扫视	扫描
汗	汗水	汗珠
奔	奔跑	奔驰
妇	妇女	妇人
鲜	鲜血	鲜红
纯	纯洁	纯粹
凉	凉气	凉意
素	素质	素养
锋	锋利	锋芒
冒	冒出来	冒险
辉	辉煌	辉映
迹	迹象	迹线
项	项目	项链
丁	丁丁	丁香
丁	丁丁	丁香
职	职业	职位
愤	愤怒	愤愤
努	努力	努力学习
罪	罪恶	罪犯
爽	爽快	爽朗
触	触动	触摸
颗	颗粒	颗粒无收
貌	貌似	貌美
孤	孤独	孤儿院
郭	郭敬明	郭美美
雄	雄厚	雄伟
概	概念	概率
距	距离	距今
抢	抢劫	抢救
傅	傅先生	傅作义
缘	缘故	缘分
烧	烧烤	烧饼
凯	凯文	凯瑟琳
盖	盖住	盖子
炎	炎热	炎黄
琪	琪琪	琪花
善	善良	善意
腾	腾飞	腾空
闲	闲聊	闲着
徒	徒弟	徒儿
巧	巧合	巧克力
敌	敌人	敌意
拾	拾起	拾掇
免	免费	免得
伴	伴随	伴奏
闷	闷热	闷响
稍	稍微	稍稍
扭	扭头	扭曲
倩	倩影	倩女幽魂
秒	秒钟	秒杀
伯	伯伯	伯父
零	零食	零花钱
凝	凝聚	凝重
灭	灭亡	灭绝
飘	飘逸	飘荡
略	略显	略带
铭	铭记	铭文
软	软件	软软
悄	悄悄	悄悄的
挡	挡住	挡不住
轮	轮回	轮廓
川	川流不息	川静香
番	番茄	番薯
优	优秀	优雅
番	番茄	番薯
膀	膀子	膀大腰圆
膀	膀子	膀大腰圆
迟	迟到	迟疑
犯	犯罪	犯人
漫	漫长	漫画
晃	晃动	晃晃悠悠
绿	绿色	绿光
吹	吹牛	吹嘘
拜	拜托	拜拜
残	残酷	残忍
扑	扑通	扑面而来
玄	玄武	玄妙
董	董事长	董事
惯	惯性	惯例
诺	诺基亚	诺言
启	启动	启明
探	探索	探出
猫	猫咪	猫猫
妙	妙龄少女	妙手
偏	偏偏	偏僻
亚	亚洲	亚军
宫	宫殿	宫廷
傲	傲气	傲慢
珠	珠子	珠宝
丫	丫头	丫丫
灰	灰色	灰尘
肚	肚子	肚皮
镇	镇上	镇定
颤	颤抖	颤动
颤	颤抖	颤动
敬	敬请	敬畏
圆	圆形	圆圆的
昏	昏迷	昏暗
猜	猜测	猜想
咳	咳嗽	咳嗽声
咳	咳嗽	咳嗽声
厚	厚厚的	厚重
皇	皇帝	皇甫
移	移动	移开
粉	粉丝	粉色
维	维持	维护
博	博士	博物馆
附	附近	附和
尖	尖叫	尖锐
抖	抖动	抖动着
托	托人	托盘
限	限制	限量版
范	范围	范畴
臂	臂膀	臂力
娜	娜娜	娜塔莎
爬	爬起来	爬山
稳	稳定	稳重
奖	奖励	奖金
诚	诚恳	诚实
娇	娇小	娇羞
归	归来	归于
圣	圣人	圣地
共	共同	共有
欲	欲望	欲哭无泪
际	际遇	际会
输	输入	输给
虑	虑无不周	
敲	敲门	敲门声
燕	燕京	燕子
绩	绩效	绩溪
陌	陌生	陌生人
霸	霸气	霸道
欺	欺负	欺骗
慌	慌乱	慌张
扔	扔掉	扔下
误	误会	误解
惹	惹事	惹不起
获	获得	获取
朵	朵朵	朵花
研	研究	研究生
姜	姜文	姜子牙
姨	姨妈	姨夫
凭	凭借	凭着
晕	晕倒	晕过去
翼	翼手龙	翼翼
壮	壮汉	壮硕
京	京城	京都
敏	敏捷	敏感
骗	骗子	骗人
蒙	蒙面	蒙面人
幽	幽幽	幽灵
效	效果	效率
森	森林	森然
彻	彻底	彻彻底底
邪	邪恶	邪气
邪	邪恶	邪气
玲	玲珑	玲玲
省	省城	省会
省	省城	省会
琳	琳娜	琳琅满目
怨	怨气	怨恨
炸	炸弹	炸开
鹏	鹏飞	鹏程
测	测试	测验
折	折磨	折腾
折	折磨	折腾
梅	梅花	梅子
浑	浑身	浑身上下
搭	搭理	搭讪
惨	惨叫	惨白
暖	暖暖的	暖流
洁	洁白	洁癖
瑶	瑶池	瑶琳
童	童年	童话
苍	苍白	苍老
艺	艺术	艺人
嘻	嘻嘻	嘻嘻哈哈
砸	砸死	砸出
健	健康	健壮
铃	铃声	铃声响起
绪	绪论	绪言
扶	扶住	扶起来
扎	扎进	扎根
扎	扎进	扎根
尊	尊敬	尊重
匆	匆匆	匆忙
沐	沐阳	沐浴
鸣	鸣谢	鸣叫
甜	甜美	甜蜜
尼	尼玛	尼克
租	租房	租住
椅	椅子	椅背
委	委屈	委员
阶	阶段	阶梯
卷	卷子	卷起
尴	尴尬	尴尬事
潇	潇洒	潇潇
薇	薇薇安	薇诺娜
戴	戴眼镜	戴维斯
净	净化	净土
